time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1843,0.021686744,0.02864728,0.151375875,0.333711731,0.276992546,0.040380229,0.00987934,0.028032812,0.301905248,0.135711467,0.005921213,0.011222895,0.042670048,0.014746998,0.410626932,0.358802263,0.365943333,0.512615,0.349813655,0.365086368,0.509044882,0.310854615,0.456034527,0.401966608,0.398416916,0.469588622,0.280724438,0.399388333
1844,0.026758252,0.029352018,0.173965825,0.347482496,0.334012125,0.047871421,0.012391598,0.052874218,0.318599457,0.18639016,0.008735086,0.009460251,0.073644746,0.024787578,0.372013098,0.268263518,0.242305,0.2971,0.254960181,0.323351436,0.367311735,0.221985987,0.359226309,0.343856125,0.305105527,0.310621788,0.249700177,0.277112646
1845,0.035287335,0.026220641,0.196431059,0.357507858,0.385295381,0.057806751,0.011002969,0.100629135,0.330680895,0.285999788,0.022355206,0.009664451,0.069314251,0.055900621,0.259303497,0.174735909,0.100175,0.067805,0.134708768,0.155058407,0.173526479,0.142462436,0.197073255,0.209239692,0.145579561,0.086599398,0.150388353,0.115984297
1846,0.041887341,0.025045687,0.184559668,0.387656944,0.40178641,0.063540178,0.012047855,0.125217336,0.373620847,0.362820697,0.031973791,0.011653224,0.050028321,0.150898551,0.049617312,0.085294056,0,0,0.026297939,0.014181258,0,0.037551487,1.20E-05,0.040257732,0.006946214,0,0.02181082,0
1847,0.073536503,0.058671262,0.200624198,0.352135997,0.417127468,0.094519421,0.016637881,0.141192822,0.386182855,0.412486089,0.040194405,0.012716554,0.052814191,0.339247205,0,3.41E-06,0,0,0,0,0,0,0,0,0,0,0,0
1848,0.090294867,0.062230491,0.181136679,0.393049824,0.415744521,0.114771845,0.019471584,0.110954477,0.459828195,0.448817776,0.043450002,0.017141865,0.047546075,0.296005797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,0.106071522,0.064843401,0.159746071,0.414173823,0.395928472,0.135458557,0.015965769,0.096240151,0.524950679,0.470284061,0.042433116,0.023145076,0.047573611,0.238104348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,0.122472026,0.064918515,0.145375458,0.419119522,0.361090427,0.15486341,0.017370709,0.103589303,0.578536334,0.483518826,0.043816139,0.028017317,0.058429771,0.214193789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,0.126603149,0.058574378,0.135100996,0.424463392,0.330520938,0.147117832,0.020971543,0.103585476,0.614588793,0.45789244,0.049665328,0.031136707,0.066600242,0.214168116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,0.125605045,0.055429759,0.112282997,0.431908173,0.316251904,0.13053645,0.02479682,0.079689986,0.625558978,0.4353932,0.053368153,0.03162751,0.06974529,0.247380538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1853,0.124538205,0.052071872,0.090057263,0.432231991,0.311431036,0.120303784,0.025191973,0.064351089,0.624604326,0.425343001,0.051848873,0.028556356,0.053932488,0.289918841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854,0.119369831,0.047912366,0.082408966,0.410745847,0.308520479,0.110454821,0.025199026,0.052382015,0.599223209,0.42382366,0.04797735,0.025381235,0.041801449,0.319158592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,0.114112652,0.048417998,0.074241392,0.387841892,0.296692374,0.102200234,0.027219844,0.048890355,0.571563022,0.389641681,0.046699406,0.022636459,0.031482609,0.299204141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856,0.113513091,0.040576413,0.067428873,0.36550646,0.284682265,0.101452323,0.018743308,0.040541163,0.537716505,0.370564969,0.042829543,0.019251666,0.027591365,0.263398758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857,0.110230592,0.035139853,0.063783429,0.33668878,0.264210591,0.103372096,0.011357296,0.036306533,0.505090704,0.345684561,0.037281633,0.016622089,0.021368599,0.233636439,0,0,0,0,0,0,0,0,0,0,0,3.90E-06,0,0
1858,0.109219824,0.029545327,0.056597739,0.334839723,0.246012686,0.105730246,0.008806313,0.032656924,0.500821743,0.326596734,0.032989076,0.015299645,0.018319686,0.214820704,0,0.00077375,0.175201667,0.008625,0.004708889,0.006202778,0.119315305,0,0.108860297,0.005649718,0.003725936,0.204921553,0,0.055214087
1859,0.086531368,0.048713775,0.075783373,0.290485,0.207766076,0.08184304,0.017419257,0.052976263,0.463100438,0.267817603,0.023192656,0.015636483,0.028438466,0.153293582,0.082288602,0.053408658,0.231108333,0.403205,0.083649946,0.045658417,0.244132308,0.237986705,0.208863461,0.123276757,0.070162473,0.321256499,0.161401004,0.171600965
1860,0.09021832,0.050753624,0.087608307,0.340306345,0.219878047,0.083353827,0.021425735,0.083802764,0.446355226,0.265907088,0.023608976,0.014270135,0.035419505,0.208975569,0.165143196,0.16763156,0.329411667,0.597605,0.173462784,0.117443192,0.342517724,0.346084013,0.33889283,0.24498168,0.173119069,0.409887726,0.262413713,0.286601157
1861,0.113150181,0.050653291,0.092523095,0.438768214,0.227975848,0.090968784,0.026226017,0.095869755,0.467842988,0.250008628,0.023765348,0.015476881,0.024635386,0.27546087,0.248292322,0.27389309,0.324538333,0.561165,0.238316793,0.199801326,0.384251687,0.467748962,0.400455285,0.339988007,0.272411233,0.478592893,0.342907991,0.391197616
1862,0.10801342,0.048631544,0.095672377,0.493240336,0.22181501,0.097620491,0.0350838,0.095145601,0.54142433,0.229970356,0.024331036,0.017236985,0.033498973,0.248637681,0.296551247,0.354408353,0.376678333,0.60422,0.2921065,0.240118443,0.436075233,0.5196085,0.452355533,0.377248516,0.362206118,0.539090395,0.407120148,0.390368577
1863,0.086890801,0.043018454,0.097688861,0.506905097,0.212477028,0.101518815,0.044367635,0.082585227,0.54149026,0.212227293,0.030411197,0.016221741,0.039081461,0.185922153,0.389009179,0.426091903,0.4132275,0.633035,0.312907029,0.303650073,0.475072523,0.448159603,0.489754794,0.409135019,0.407987349,0.572782531,0.413858636,0.434932397
1864,0.062145993,0.030283637,0.100044219,0.497541654,0.194042074,0.093996939,0.038491815,0.067221633,0.52772639,0.189781267,0.024071738,0.01504426,0.046172766,0.136578882,0.407378662,0.451489428,0.453846667,0.61279,0.354968098,0.319603061,0.457854455,0.459424385,0.497699855,0.414512981,0.40140038,0.574743777,0.381680754,0.424124424
1865,0.045883517,0.026443385,0.108759332,0.488062211,0.195061235,0.0887224,0.031209282,0.055501693,0.505939592,0.164100754,0.017108887,0.014566184,0.065177717,0.098198758,0.410017687,0.457860184,0.468503333,0.53363,0.328826987,0.223881551,0.39842049,0.416858295,0.474941745,0.412521314,0.353198992,0.547579598,0.353153036,0.350901164
1866,0.032926019,0.026007878,0.120448641,0.446566971,0.222881165,0.073101296,0.023087543,0.04922628,0.46459329,0.172050521,0.01636152,0.011901349,0.061663587,0.071749896,0.39586146,0.454463452,0.45734,0.61491,0.371059563,0.208809555,0.333844576,0.363753423,0.430299339,0.380687295,0.361821512,0.494339652,0.303969631,0.346690306
1867,0.02819802,0.031392157,0.137316596,0.419236557,0.244941409,0.052591759,0.015434231,0.055510705,0.39776894,0.147610021,0.01386237,0.008381356,0.061724879,0.072339545,0.35372079,0.398949673,0.373599167,0.534755,0.322503476,0.251599518,0.320131945,0.224015821,0.378258,0.294338316,0.220457736,0.374830509,0.20615948,0.242913636
1868,0.020748342,0.031899224,0.156403048,0.383236918,0.263531582,0.0425635,0.007642915,0.058063851,0.371389076,0.131182993,0.01032057,0.007556755,0.060289855,0.092008282,0.225392695,0.351281678,0.273724167,0.55386,0.251282875,0.200762117,0.195293876,0.11662209,0.2747588,0.200484123,0.133395435,0.264794012,0.117758173,0.186135962
1869,0.023127315,0.027971943,0.177169737,0.386465026,0.270111522,0.035480137,0.00272594,0.061681873,0.399320177,0.149822643,0.007487017,0.008493584,0.056744988,0.111291097,0.153977454,0.277948907,0.071960833,0.07753,0.180129939,0.103602002,0.0749942,0.058987051,0.140919345,0.114298414,0.055873207,0.067576862,0.051298429,0.074702856
1870,0.025766383,0.024716981,0.157951508,0.424288819,0.276080913,0.037953375,0.002141384,0.059721126,0.479998088,0.194177538,0.010165331,0.009634406,0.040217572,0.124384265,0.061020648,0.173524191,0,0,0.072348425,0.030721824,0,0.030820321,0,0.043199082,0.014423533,0,0.000858907,0
1871,0.01074042,0.022398221,0.154039589,0.410780872,0.292910887,0.027945729,0.001863921,0.048704656,0.480316121,0.185284589,0.006396522,0.01424825,0.032967512,0.09980207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,0.019230099,0.021777273,0.136571655,0.479805301,0.31081248,0.035686001,0.003717784,0.050023457,0.586451757,0.226441552,0.009454186,0.020069737,0.035813466,0.145531263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,0.030189258,0.02030133,0.117641048,0.51062167,0.312522406,0.04407403,0.00605844,0.048009883,0.666262394,0.258084877,0.013004766,0.02694157,0.037336836,0.197419462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,0.041372657,0.019792288,0.107768016,0.517364073,0.282101293,0.054513986,0.013982174,0.045490662,0.714656556,0.278961912,0.02136128,0.032616209,0.031699215,0.209530435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,0.049768085,0.016410628,0.091863632,0.507230666,0.240070288,0.062709827,0.020993687,0.041424262,0.738181213,0.277504845,0.026617414,0.030738196,0.021629771,0.190462112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0.055625882,0.021975827,0.08006745,0.484259619,0.203191449,0.069871618,0.019539107,0.035849675,0.741447168,0.254229118,0.029696156,0.026716683,0.016245592,0.172180538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,0.061531452,0.02580307,0.067910792,0.471098635,0.171542494,0.073270427,0.015477111,0.030838582,0.736675341,0.227236441,0.029706639,0.022723852,0.013699155,0.161278675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
