Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost_25-A,edges--transmission_edge--investment_cost_25-B,edges--transmission_edge--investment_cost_25-C,edges--transmission_edge--fixed_om_cost_25-A,edges--transmission_edge--fixed_om_cost_25-B,edges--transmission_edge--fixed_om_cost_25-C,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,BR_NaturalGas_Pool_Fossil,BR,NaturalGas,TRUE,TRUE,FALSE,FALSE,FALSE,natgas_fossil_BR,natgas_BR,0,0,,0,,,0,,0,0,50,0,0
OneWayTransmissionLink,BR_NaturalGas_Pool_Nonfossil,BR,NaturalGas,TRUE,TRUE,FALSE,FALSE,FALSE,natgas_nonfossil_BR,natgas_BR,0,0,,0,,,0,,0,0,50,0,0
