Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_AC_Solar_Class1,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,59400,7265.25,11494,5504.65,0,436781.61,334865.901,276628.353,system/availability_solar.csv,BR_AC_Solar_Class1,elec_BR_AC,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AC_Solar_Class2,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,825,7265.25,11494,5504.65,0,494252.874,378927.2034,313026.8202,system/availability_solar.csv,BR_AC_Solar_Class2,elec_BR_AC,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AL_Solar_Class1,BR_AL,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,399796.499,7265.25,11494,5504.65,0,436781.61,334865.901,276628.353,system/availability_solar.csv,BR_AL_Solar_Class1,elec_BR_AL,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class1,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,3741.019,7265.25,11494,5504.65,0,436781.61,334865.901,276628.353,system/availability_solar.csv,BR_AM_Solar_Class1,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class2,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,16513.895,7265.25,11494,5504.65,0,494252.874,378927.2034,313026.8202,system/availability_solar.csv,BR_AM_Solar_Class2,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class3,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,23954.417,7265.25,11494,5504.65,0,574712.646,440613.0286,363984.6758,system/availability_solar.csv,BR_AM_Solar_Class3,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AP_Solar_Class1,BR_AP,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,10485,7265.25,11494,5504.65,0,436781.61,334865.901,276628.353,system/availability_solar.csv,BR_AP_Solar_Class1,elec_BR_AP,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class0,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,6520841.031,7907.418,3787,5062.9107,0,499092.558,382637.629737,316091.9534,system/availability_solar.csv,BR_BA_Solar_Class0,elec_BR_BA,2527.179,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class1,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1360359.104,7265.25,11494,5504.65,0,436781.61,334865.901,276628.353,system/availability_solar.csv,BR_BA_Solar_Class1,elec_BR_BA,3.3,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class3,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2031308.205,7265.25,11494,5504.65,0,574712.646,440613.0286,363984.6758,system/availability_solar.csv,BR_BA_Solar_Class3,elec_BR_BA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
