time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
21,0.010765307,0.035580179,0.180445172,0.158677555,0.119416911,0.017716144,0.00649354,0.04965362,0.222817329,0.060383996,0.003343615,0.023558552,0.026802838,0.005488199,0.466801058,0.344717032,0.3235875,0.136215,0.33182786,0.412112107,0.195106943,0.350075346,0.305003612,0.405212572,0.380955649,0.142321067,0.142011042,0.291617248
22,0.014689272,0.042502594,0.187707161,0.133020267,0.129835074,0.015558836,0.012053559,0.061026396,0.210830721,0.063068856,0.003803446,0.019252397,0.033942693,0.022470393,0.278943935,0.128112593,0,0,0.173642654,0.125627862,0,0.257808013,0.077554509,0.196275217,0.102674232,0,0.088915624,0.019424364
23,0.012941901,0.057100819,0.1750146,0.12574204,0.15201346,0.015011523,0.021222414,0.077372404,0.189569403,0.066850326,0.008746417,0.025592855,0.050592271,0.057541201,0,7.44E-06,0,0,0,0,0,0.064248,0,0,0,0,3.50E-05,0
24,0.018400663,0.071222362,0.208970868,0.135779838,0.136639624,0.016118396,0.027643689,0.128723351,0.196657472,0.078017202,0.009348389,0.024849978,0.052282186,0.088120911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.028464946,0.077767393,0.231396509,0.14695452,0.108932318,0.019238859,0.021985179,0.147665179,0.211671439,0.089605362,0.014866453,0.027414044,0.058458937,0.087237267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.033467765,0.076112027,0.228697726,0.145474661,0.081049589,0.023603684,0.02664085,0.141322536,0.203908538,0.076721685,0.023790968,0.031125682,0.049979106,0.072358592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.037031969,0.075003995,0.212857329,0.128035986,0.073039747,0.025548567,0.030376413,0.141456975,0.182583749,0.068187431,0.024034878,0.031691253,0.04670785,0.05207619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.03679519,0.074040515,0.190609885,0.120058085,0.065552951,0.029564082,0.03093297,0.132445958,0.167010926,0.059458677,0.021682794,0.029394034,0.059335507,0.042268323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.037274929,0.068536672,0.172243762,0.133390261,0.061129032,0.031550729,0.02875394,0.124518057,0.158424881,0.060965121,0.019787472,0.026644155,0.057992935,0.0384853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.038126789,0.064777177,0.155064728,0.141840301,0.0551147,0.031828471,0.029116717,0.123692836,0.148874648,0.063539639,0.023921017,0.026563845,0.046762258,0.036108489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.035493669,0.062008016,0.133165669,0.14748241,0.057915014,0.027176408,0.025638984,0.115034118,0.140307752,0.069310427,0.018380488,0.027229955,0.041698309,0.046362733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.034020513,0.05445567,0.114041694,0.159744452,0.064696574,0.021647091,0.020894326,0.101580311,0.145598661,0.064394039,0.016037891,0.026162927,0.031541063,0.058684058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.035219927,0.048512423,0.095231633,0.173198467,0.075211449,0.017911663,0.01908752,0.097294426,0.154982775,0.05787819,0.01835967,0.024475771,0.026833998,0.077966046,0,0,1.50E-05,0.000325,0,0,0.000735673,0,3.93E-06,0,0,0.035687749,0,0.079674153
34,0.032743428,0.045483746,0.08232632,0.186640174,0.08399834,0.015361471,0.019157414,0.082636701,0.163240013,0.051832003,0.012588788,0.023225188,0.021473732,0.089084058,0.190011045,0.114052674,0.261815833,0.02928,0.097975373,0.142127379,0.250125289,0.2967975,0.276611364,0.129210235,0.121583335,0.182228267,0.16292616,0.369514823
35,0.03786846,0.036161086,0.114062606,0.141304431,0.08153578,0.021649795,0.043888423,0.102471546,0.131686668,0.03098301,0.011923696,0.030902909,0.023446981,0.05056646,0.337681071,0.266388867,0.350753333,0.424335,0.30435853,0.273680639,0.433293572,0.533095538,0.472296848,0.313082127,0.281524053,0.348778469,0.292163402,0.525111629
