time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.009745,0,0,0.003533388,0.000327292,0.008391538,0,0,0,0.002280722,0,0,0,0.008170667,0.006847167,0,0,0.008939167,0.007643333,0,0,2.49E-05,0,0.006568333,0.000296833,0
31,0,0.137626667,0,0.000190526,0.102774757,0.056007054,0.184223077,0.042007057,0.042007057,0.029318148,0.116238727,0.009621968,0.005279882,0.002796798,0.115676667,0.1147705,0.055550672,0.027205115,0.1313675,0.120322667,0,0,0.070208053,0.041645,0.111338333,0.040393231,0.037041619
32,0.002664762,0.323216667,0.017327312,0.061928421,0.284215336,0.199729048,0.405135385,0.225833151,0.225833151,0.149593236,0.324848901,0.082030743,0.103372685,0.074205011,0.292910667,0.274043833,0.201164643,0.140838248,0.338636667,0.308142,0.025893187,0.008466964,0.260150983,0.172534203,0.284993333,0.156502085,0.229504171
33,0.080797619,0.430796667,0.130576882,0.199813947,0.47229524,0.344041429,0.57678,0.454233322,0.454233322,0.268096109,0.533816739,0.181416248,0.280886996,0.194541367,0.434842667,0.424826,0.338177474,0.265182858,0.521875833,0.438397333,0.148751332,0.127101786,0.484984555,0.29920971,0.380651667,0.273244762,0.436360948
34,0.181527619,0.615165,0.246293118,0.369609211,0.620062078,0.4784075,0.743821538,0.63490722,0.63490722,0.413482842,0.688310021,0.252454788,0.44623835,0.304070105,0.477643333,0.543734333,0.471066415,0.362184859,0.644235833,0.518042,0.288802628,0.277074286,0.668682425,0.373711812,0.546351667,0.406957492,0.596278674
35,0.307821429,0.662738333,0.321682043,0.411703421,0.704920976,0.57405625,0.782284615,0.715026031,0.715026031,0.513069547,0.737573791,0.333632982,0.589519614,0.411509335,0.541634667,0.626030167,0.566000705,0.443392174,0.732686667,0.61226,0.446891087,0.421803393,0.785048521,0.507532971,0.675036667,0.478199441,0.6831601
36,0.41172,0.565515,0.413022258,0.468939211,0.725901155,0.627097083,0.80943,0.739942484,0.739942484,0.565114741,0.751440379,0.43309087,0.653048611,0.473672747,0.655038667,0.618428667,0.619803933,0.490921905,0.757165,0.63511,0.574346546,0.45872,0.812375655,0.526822101,0.77892,0.510606658,0.730815165
37,0.464522857,0.689823333,0.464570968,0.463987368,0.699351448,0.619113095,0.729415385,0.749496331,0.749496331,0.550222077,0.748672832,0.474247548,0.677380758,0.492191192,0.589088,0.574093167,0.581450385,0.487480556,0.7486375,0.606775333,0.638053845,0.442100179,0.821079009,0.489157681,0.713171667,0.510153213,0.658739939
38,0.600109524,0.538773333,0.46431957,0.477387895,0.644708231,0.508500685,0.646620769,0.712108057,0.712108057,0.545603914,0.688210368,0.50070645,0.648200102,0.510164937,0.529826667,0.458509,0.499639393,0.477702065,0.7197125,0.559129333,0.571869765,0.458492143,0.792558252,0.447897754,0.610941667,0.437937433,0.616497658
39,0.491935714,0.439133333,0.406172473,0.405800263,0.513350211,0.423895744,0.559002308,0.621153595,0.621153595,0.475852842,0.591306418,0.474574704,0.586822106,0.431977658,0.44418,0.348308667,0.400131275,0.410771969,0.572933333,0.398354,0.535833527,0.41247125,0.712638927,0.353414348,0.442358333,0.438569487,0.558920261
40,0.460738571,0.309651667,0.327213441,0.342767105,0.375602781,0.27406619,0.437624615,0.516029193,0.516029193,0.379328429,0.456454893,0.478335881,0.507262174,0.360762694,0.288475333,0.244173667,0.338618193,0.277495556,0.430255,0.306134,0.507055805,0.346613571,0.604679876,0.266032826,0.36453,0.406389744,0.429676355
41,0.467502857,0.118625,0.222317419,0.198832368,0.202307269,0.11543369,0.230492308,0.340267834,0.340267834,0.206696379,0.291510089,0.360281095,0.361315669,0.229417785,0.099208667,0.102897667,0.17471831,0.22365571,0.257863333,0.099410667,0.317090491,0.285595179,0.463864992,0.178612609,0.154383333,0.254116258,0.287961555
