Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--diesel_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--diesel_edge--commodity,edges--diesel_edge--unidirectional,edges--diesel_edge--has_capacity,edges--diesel_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSDiesel,BR_N_Soybean_Biodiesel_large,BR_N,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_N,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSDiesel,BR_NE_Soybean_Biodiesel_large,BR_NE,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_NE,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSDiesel,BR_CW_Soybean_Biodiesel_large,BR_CW,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_CW,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSDiesel,BR_SE_Soybean_Biodiesel_large,BR_SE,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_SE,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSDiesel,BR_S_Soybean_Biodiesel_large,BR_S,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_S,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
