time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
20,0.028297143,0.0,0.000312796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38e-5,8.98e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003909185,0.0,0.001253239,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.005568333,0.0,0.0,0.00117075,0.0,0.004723077,0.0,0.0,0.0,0.00057014,0.0,0.0,0.0,0.003204667,0.0035275,0.0,0.0,0.002905833,0.002838,0.0,0.0,0.0,0.0,0.004313333,0.0,0.0
31,0.0,0.132168333,0.0,0.0,0.076304814,0.05009119,0.11374,0.015419397,0.015419397,0.016075108,0.063950152,0.006873061,0.001265073,0.001285742,0.112035333,0.106354333,0.035308954,0.02250445,0.089924167,0.110748,0.0,0.0,0.04735527,0.058881739,0.113963333,0.029564622,0.010015632
32,0.000673333,0.318873333,0.016107312,0.029935789,0.220059438,0.157142113,0.288982308,0.100405451,0.100405451,0.110781672,0.209060091,0.130855521,0.081298283,0.057990799,0.275156667,0.260373667,0.153921716,0.127677602,0.2426175,0.273054,0.012631123,0.005130179,0.249871243,0.220581014,0.289978333,0.132373433,0.073659994
33,0.079215714,0.500433333,0.148261828,0.119875,0.379301331,0.316676935,0.490705385,0.236455118,0.236455118,0.240237255,0.37368625,0.27618537,0.239196801,0.20310695,0.476151333,0.436459167,0.289057675,0.211631873,0.466974167,0.455434667,0.095348119,0.146418036,0.476893712,0.39818971,0.47002,0.216949436,0.18719339
34,0.253541905,0.61758,0.303866559,0.243089211,0.528051395,0.459214851,0.619616923,0.343808734,0.343808734,0.40553713,0.473200925,0.420027084,0.376256567,0.34664716,0.615861333,0.595861333,0.455120306,0.28708711,0.597271667,0.597,0.238888992,0.317294464,0.660945964,0.583206812,0.652043333,0.313634515,0.304629261
35,0.365244286,0.7175,0.416972581,0.290061579,0.601881775,0.505982827,0.70922,0.435308458,0.435308458,0.492426985,0.528341985,0.502319228,0.457462817,0.4662169,0.647552,0.663247667,0.489150142,0.346709111,0.618458333,0.617556667,0.321254969,0.478257143,0.782818131,0.661912391,0.728096667,0.339894364,0.384560045
36,0.507779524,0.724093333,0.487282366,0.354969211,0.632150531,0.622850536,0.710164615,0.526473229,0.526473229,0.541676606,0.576769669,0.658650999,0.538208038,0.550736141,0.70793,0.692663667,0.516504036,0.457124706,0.64546,0.656405333,0.400736306,0.573372679,0.817250165,0.718604275,0.766745,0.426517312,0.447959726
37,0.598078571,0.711626667,0.550372258,0.387417895,0.644802528,0.590895833,0.674487692,0.538118026,0.538118026,0.543859422,0.550822856,0.67162635,0.597494669,0.547897204,0.683378,0.650067167,0.497646405,0.51422078,0.669895833,0.665894667,0.442622701,0.668107679,0.79453056,0.720920507,0.760778333,0.522280193,0.520394452
38,0.554976667,0.650598333,0.565413441,0.391352632,0.555692251,0.610830863,0.635282308,0.537219161,0.537219161,0.50968439,0.551560571,0.688672439,0.60871818,0.518377977,0.631146667,0.6025835,0.446942855,0.553543497,0.673256667,0.613858,0.510672957,0.689132679,0.778248903,0.744259783,0.665846667,0.495143167,0.535133035
39,0.510400952,0.504205,0.499832473,0.378545526,0.462258797,0.498350744,0.508589231,0.430352812,0.430352812,0.452046842,0.417069006,0.656720937,0.485441167,0.47088283,0.507906667,0.433197333,0.371953427,0.53573259,0.465998333,0.506334,0.485384488,0.65150875,0.696489056,0.630022754,0.473828333,0.396990563,0.503964358
40,0.460072857,0.369753333,0.454038065,0.327790526,0.333761722,0.380501667,0.431153077,0.283138056,0.283138056,0.395471577,0.31824976,0.559524948,0.450717603,0.366541922,0.354671333,0.315743333,0.341110656,0.456303708,0.349423333,0.334406667,0.318184744,0.552552143,0.597569815,0.496406957,0.37704,0.337700268,0.410060906
41,0.397882857,0.138141667,0.313677419,0.198184474,0.162942868,0.174357589,0.222241538,0.211447839,0.211447839,0.223489236,0.17557513,0.430520513,0.324669064,0.241799694,0.139606,0.127306833,0.191826361,0.372239373,0.168856667,0.145320667,0.363229363,0.385124464,0.442022233,0.344791087,0.161081667,0.222361122,0.290266058
42,0.331919524,0.010638333,0.18254172,0.089156579,0.042926283,0.019171815,0.063639231,0.114662079,0.114662079,0.065800655,0.064729058,0.248078164,0.186553475,0.114514114,0.008526,0.015036667,0.043776641,0.199419616,0.0541375,0.007149333,0.269954822,0.232056429,0.264403404,0.147795797,0.01705,0.125822975,0.114831929
43,0.173461905,0.0,0.054804194,0.001888947,6.59e-5,0.0,0.0,0.012990808,0.012990808,1.05e-6,0.003484839,0.065440853,0.04758481,0.012371731,0.0,0.0,0.0,0.048862481,0.0013225,0.0,0.115285214,0.051972143,0.098396433,0.040363478,0.0,0.018372081,0.004062826
44,0.025891905,0.0,0.000547957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94e-5,0.000118582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004054394,0.0,0.00161546,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.003278333,0.0,0.0,0.000961607,0.0,0.002901538,0.0,0.0,0.0,0.000190945,0.0,0.0,0.0,0.002446667,0.002128,0.0,0.0,0.0013775,0.002138667,0.0,0.0,0.0,0.0,0.003321667,0.0,0.0
55,0.0,0.13397,0.0,0.0,0.071032445,0.058667083,0.078235385,0.011723052,0.011723052,0.019284642,0.053420031,0.00724049,0.000858161,0.001689677,0.114188667,0.120212167,0.034986732,0.026800454,0.0531575,0.119128,0.0,0.0,0.044836479,0.064297174,0.147498333,0.023117357,0.015077235
56,0.000905238,0.34112,0.016091075,0.058966053,0.208505143,0.216115625,0.154689231,0.083969859,0.083969859,0.138793827,0.19178412,0.155017388,0.077347831,0.076860094,0.330974667,0.323106333,0.152778018,0.178151854,0.166654167,0.361416,0.020933725,0.007439643,0.239369892,0.263947246,0.32919,0.125580031,0.139995965
57,0.08259,0.485733333,0.149412043,0.214610789,0.355348786,0.384969226,0.29565,0.199929277,0.199929277,0.279391554,0.351981982,0.363168737,0.246959534,0.227040472,0.537132,0.499141167,0.302329125,0.341145153,0.2819525,0.550677333,0.184304624,0.145486964,0.455099616,0.492578768,0.467121667,0.24591152,0.317876635
58,0.189505714,0.637946667,0.309232796,0.364716579,0.460513731,0.543127976,0.404970769,0.275487277,0.275487277,0.39227386,0.496227836,0.523691183,0.393639529,0.367711614,0.675382,0.624683667,0.429417348,0.426408855,0.413373333,0.630413333,0.389666024,0.345086429,0.636417964,0.639533116,0.615646667,0.338325493,0.442436445
59,0.284747143,0.720046667,0.444816129,0.543163421,0.61099785,0.592709613,0.493552308,0.378125586,0.378125586,0.493136611,0.578403741,0.65149982,0.548945118,0.495981094,0.736594,0.679168167,0.542797099,0.565253932,0.519785,0.677182,0.583170658,0.486439286,0.749399727,0.770607754,0.694321667,0.513302468,0.533564745
60,0.397266667,0.715398333,0.526984946,0.639223421,0.577505902,0.678710357,0.447203077,0.444722773,0.444722773,0.500792025,0.603623432,0.73083019,0.653436157,0.531030425,0.801797333,0.698183833,0.582005733,0.684793868,0.630821667,0.722902667,0.697017706,0.579736071,0.816610224,0.816079203,0.672535,0.608665543,0.534018252
61,0.541917143,0.733418333,0.572449032,0.609733158,0.588380809,0.637823333,0.57527,0.504002529,0.504002529,0.540610623,0.603555622,0.780426925,0.679497617,0.590053289,0.73813,0.648221,0.602907423,0.756283811,0.640701667,0.692962667,0.745680512,0.667945536,0.81745131,0.82660413,0.665908333,0.623091251,0.568465406
62,0.458867619,0.662061667,0.536769355,0.567101579,0.53616609,0.658955744,0.480859231,0.497784554,0.497784554,0.521190041,0.5324876,0.739825721,0.670203429,0.530433399,0.665199333,0.612466667,0.569050418,0.729764514,0.604173333,0.682607333,0.749103156,0.663158571,0.733215822,0.724297609,0.717173333,0.615118154,0.560972271
63,0.493221429,0.491218333,0.594365054,0.49229,0.433595803,0.50446369,0.411138462,0.527687823,0.527687823,0.462622678,0.507139309,0.682681345,0.628086205,0.490484901,0.519267333,0.460223,0.453844855,0.669163414,0.5337,0.500005333,0.67609093,0.654740893,0.650243467,0.687135217,0.556135,0.589838742,0.532517165
64,0.636998095,0.350828333,0.479726559,0.366351579,0.276032675,0.385458988,0.247177692,0.422213342,0.422213342,0.338079357,0.344937516,0.573893187,0.554254204,0.397778241,0.369098667,0.307866,0.331917638,0.572675313,0.378438333,0.382188,0.624554932,0.505736429,0.525086313,0.561914203,0.381208333,0.486585326,0.439721916
65,0.498497143,0.183078333,0.331642258,0.243831579,0.141722424,0.199985238,0.137796154,0.275704724,0.275704724,0.185216635,0.20559434,0.428430424,0.397523629,0.260652685,0.184162,0.1533765,0.182640296,0.408794373,0.142675833,0.170340667,0.470578981,0.390846429,0.345090255,0.393145725,0.171126667,0.378476398,0.294867939
66,0.346265238,0.013166667,0.19219914,0.084275789,0.038017422,0.020476637,0.040831538,0.145226055,0.145226055,0.053390586,0.079701861,0.240145482,0.219277868,0.120532925,0.010280667,0.013424333,0.038396772,0.229916976,0.038145833,0.008537333,0.288102429,0.2321325,0.22518928,0.206233696,0.020936667,0.186999515,0.120649216
