Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AM,elec_BR_AP,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MG,elec_BR_MS,elec_BR_MT,elec_BR_PA,elec_BR_PB,elec_BR_PE,elec_BR_PI,elec_BR_PR,elec_BR_RJ,elec_BR_RN,elec_BR_RO,elec_BR_RR,elec_BR_RS,elec_BR_SC,elec_BR_SE,elec_BR_SP,elec_BR_TO
1,687.5836537489041,1218.620832509726,1832.71027438242,701.2827442782192,4260.45954373516,2856.258388239726,1336.002932237032,2674.685493559817,3134.813095591325,2053.8879992840184,10288.989499636986,2208.07276721758,2965.0772820684933,2971.4890611424657,1473.0798781730593,2836.0132386415526,1406.3840869365297,5862.136279961188,6468.270105467123,1737.905939080137,1130.3408305280823,699.1277902612329,5764.081665098173,4842.55869013653,1057.829147206621,21575.1766096758,962.6300492495434
2,670.920023018904,1165.822595799726,1750.1460229424201,677.3376936182191,3989.0159531351596,2676.058718339726,1253.815161287032,2556.9438892598173,2881.897898791324,1947.214071384018,9682.255352636987,2057.42970931758,2834.0035180684936,2825.3773837424656,1390.9471237730593,2701.4628588415526,1338.9063667365297,5482.198985861187,6081.9870246671235,1650.706732180137,1061.7872721280821,678.3627866312329,5360.905463098173,4543.53089143653,1011.873692366621,19869.2682606758,906.2309544495433
3,651.2934833589042,1113.515141229726,1643.84851086242,654.6437401282192,3727.7260255351594,2501.644772839726,1178.951784217032,2411.8115816598174,2659.1976674913244,1861.1858940840182,9103.634070636987,1941.6644078175798,2712.0364400684934,2693.9060725424656,1320.0840582930593,2506.481558741553,1272.8118863365296,5094.326357261188,5650.474001667124,1564.640718860137,1010.4861339280822,656.9270705412329,4966.832311098173,4240.67334433653,967.5545017466211,18018.0315466758,861.5446461995434
4,635.5120823819041,1085.3676486797262,1555.87398591242,637.9583156792191,3533.3219119351593,2356.2711307397262,1115.1789723570319,2292.8966576598173,2512.9885112913244,1783.463102584018,8553.422104636986,1832.7170626175798,2607.1778430684935,2555.9961914424657,1257.4064635630596,2344.0745751415525,1220.8652399365296,4765.850157461187,5240.049387367123,1496.865755730137,969.3158478080823,641.8224697282329,4653.673152598173,3937.0377934365297,935.324906646621,16565.0234336758,827.8150250695434
5,629.7439905569041,1076.629176449726,1557.66387947242,631.7634375072191,3521.01244453516,2323.521972339726,1095.3009937470317,2306.144204659817,2490.290451591324,1785.0263999840183,8807.347599636985,1812.3117995175799,2573.5395268684933,2584.699401642466,1235.8348642830595,2310.7804989415527,1191.8129892365296,4771.864495361187,5198.057263567123,1478.505006080137,951.9068908280822,633.127061807233,4637.796854398173,3973.1889515365297,931.722778206621,16588.1737736758,813.7094501495434
6,625.9772224059041,1067.696343499726,1545.32880626242,629.6414888732191,3531.6413691351595,2313.009246239726,1081.575793367032,2304.335045759817,2465.2330236913244,1771.8251486840181,8853.080280636985,1816.8360275175799,2566.0771659684933,2573.166573942466,1221.8364366530593,2267.5405197415525,1168.0334428365295,4767.219266161188,5257.010955167123,1463.864750000137,951.3009443480822,628.3151477242329,4652.028449798173,3984.23718903653,932.137643846621,16615.6623136758,810.3292587595433
7,632.5589646389041,1071.5708488997261,1560.73145414242,628.8192277182192,3660.6505687351596,2342.831419239726,1180.9210172970318,2356.113258259817,2593.401917391325,1784.5159366840182,9091.502203636986,1892.02562681758,2613.891186068493,2610.860627742466,1245.2372773430593,2338.9329045415525,1175.0589527365296,4961.984643861188,5330.789314167124,1474.413842530137,967.9694142280823,630.4200163412329,4789.669261098174,4091.6048264365295,949.141911206621,17439.3912486758,834.2650396495434
8,641.6520777389042,1085.756349859726,1605.11846718242,638.1537089682191,3825.9347232351597,2441.5766630397256,1223.5220404470322,2420.998152459817,2763.631694291324,1815.1348178840183,9550.644303636986,1975.35773171758,2724.9206410684938,2666.813665742466,1279.5199865730594,2412.259439441553,1204.8387458365296,5315.171313961187,5598.689429867123,1507.377234980137,1001.1300016280823,639.9711856612329,5088.765306098173,4339.2258777365305,979.0477435266209,18513.7046806758,872.9679915495434
9,691.5234998389041,1230.692985339726,1935.37672063242,695.3227713482191,4588.60480523516,2960.7239538397257,1437.787743447032,2889.0602626598175,3332.2513161913243,2056.3222766840186,11665.922377636985,2365.8123909175797,3061.8755890684934,3107.0251668424658,1469.1779660730595,2879.9981645415523,1351.2693451365299,6604.9800609611875,7170.843694967123,1714.998531580137,1144.9986305280822,690.8216099712329,6255.923217098174,5435.04152503653,1103.1342395166212,24658.8844466758,975.1428935495434
10,687.338543238904,1240.0418317397261,1928.15648273242,688.8776063482192,4654.09733953516,2948.812066239726,1423.907855847032,2932.0748730598175,3444.311478891324,2122.471284584018,12112.669371636986,2402.8001433175796,3069.475579068493,3218.321557042466,1468.7680233730593,2834.1342307415525,1335.1521205365295,6898.507245961187,7018.0464301671245,1702.535878280137,1133.4697324280821,683.000338131233,6432.965389098174,5589.28208823653,1119.4306948166209,24998.8246906758,987.5775600495434
11,696.634558038904,1272.274531739726,2016.4140102324202,702.4232033882191,4771.45511843516,3036.221798839726,1537.094683647032,3042.452896859817,3569.017098291324,2115.984866584018,12624.212370636988,2490.40438831758,3141.4431610684933,3299.169428642466,1497.0588040730595,2917.1190500415523,1360.9208099365296,7223.610649961188,7387.984515367124,1739.663376980137,1158.2857215280821,689.6659938712329,6735.925855098173,6056.80821393653,1140.399022256621,26808.4736026758,1002.2345870495434
12,720.4542621189042,1316.531313739726,2094.43793263242,730.4749091582191,5017.69841743516,3235.080527339726,1603.440638447032,3153.775483959817,3735.425240091324,2207.4256159840183,13082.822272636986,2584.1072567175797,3235.9646710684933,3402.3391828424656,1566.6373254730595,3062.8155449415526,1414.8071483365297,7584.614951961187,7856.954374767122,1822.4527008801367,1223.4888799280823,713.7807441612329,7079.862831098174,6270.73483793653,1182.049893186621,28218.8099356758,1030.0818374495434
13,706.067421568904,1282.441712639726,1983.28702693242,714.2525967782191,4876.608848835161,3066.765028539726,1546.354649147032,3000.080237259817,3587.3539922913246,2137.8787391840183,12351.846593636987,2478.5809521175797,3174.3122430684934,3286.909866042466,1512.5863487730594,2892.963854541553,1373.9898634365297,7216.945744961188,7320.185989867124,1764.643790080137,1184.455027328082,699.6230567612329,6748.712107098173,5873.70616843653,1148.944760016621,26622.783724675803,1011.2064167495435
