Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
33,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
34,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
35,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
36,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
37,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
38,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
39,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
40,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
41,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
42,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
43,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
44,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
45,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
46,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
47,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
48,0.024212635,0.314102556,1.0,0.607021742,0.4080399,0.178859508,0.703176659,1.0,0.803607576,0.755403914,0.33648606,1.0,0.757036195,0.484223959
49,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
50,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
51,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
52,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
53,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
54,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
55,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
56,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
57,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
58,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
59,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
60,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
61,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
62,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
63,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
64,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
65,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
66,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
67,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
68,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
69,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
70,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
