Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
1,23.83,12.26,16.98,4.535,18.97,29.34,50.32
2,23.83,12.26,16.98,4.535,18.97,29.34,50.32
3,23.83,12.26,16.98,4.535,18.97,29.34,50.32
4,23.83,12.26,16.98,4.535,18.97,29.34,50.32
5,23.83,12.26,16.98,4.535,18.97,29.34,50.32
6,23.83,12.26,16.98,4.535,18.97,29.34,50.32
7,23.83,12.26,16.98,4.535,18.97,29.34,50.32
8,23.83,12.26,16.98,4.535,18.97,29.34,50.32
9,23.83,12.26,16.98,4.535,18.97,29.34,50.32
10,23.83,12.26,16.98,4.535,18.97,29.34,50.32
11,23.83,12.26,16.98,4.535,18.97,29.34,50.32
12,23.83,12.26,16.98,4.535,18.97,29.34,50.32
13,23.83,12.26,16.98,4.535,18.97,29.34,50.32
14,23.83,12.26,16.98,4.535,18.97,29.34,50.32
15,23.83,12.26,16.98,4.535,18.97,29.34,50.32
16,23.83,12.26,16.98,4.535,18.97,29.34,50.32
17,23.83,12.26,16.98,4.535,18.97,29.34,50.32
18,23.83,12.26,16.98,4.535,18.97,29.34,50.32
19,23.83,12.26,16.98,4.535,18.97,29.34,50.32
20,23.83,12.26,16.98,4.535,18.97,29.34,50.32
21,23.83,12.26,16.98,4.535,18.97,29.34,50.32
22,23.83,12.26,16.98,4.535,18.97,29.34,50.32
23,23.83,12.26,16.98,4.535,18.97,29.34,50.32
24,23.83,12.26,16.98,4.535,18.97,29.34,50.32
25,23.83,12.26,16.98,4.535,18.97,29.34,50.32
26,23.83,12.26,16.98,4.535,18.97,29.34,50.32
27,23.83,12.26,16.98,4.535,18.97,29.34,50.32
28,23.83,12.26,16.98,4.535,18.97,29.34,50.32
29,23.83,12.26,16.98,4.535,18.97,29.34,50.32
30,23.83,12.26,16.98,4.535,18.97,29.34,50.32
31,23.83,12.26,16.98,4.535,18.97,29.34,50.32
32,23.83,12.26,16.98,4.535,18.97,29.34,50.32
33,23.83,12.26,16.98,4.535,18.97,29.34,50.32
34,23.83,12.26,16.98,4.535,18.97,29.34,50.32
35,23.83,12.26,16.98,4.535,18.97,29.34,50.32
36,23.83,12.26,16.98,4.535,18.97,29.34,50.32
37,23.83,12.26,16.98,4.535,18.97,29.34,50.32
38,23.83,12.26,16.98,4.535,18.97,29.34,50.32
39,23.83,12.26,16.98,4.535,18.97,29.34,50.32
40,23.83,12.26,16.98,4.535,18.97,29.34,50.32
41,23.83,12.26,16.98,4.535,18.97,29.34,50.32
42,23.83,12.26,16.98,4.535,18.97,29.34,50.32
43,23.83,12.26,16.98,4.535,18.97,29.34,50.32
44,23.83,12.26,16.98,4.535,18.97,29.34,50.32
45,23.83,12.26,16.98,4.535,18.97,29.34,50.32
46,23.83,12.26,16.98,4.535,18.97,29.34,50.32
47,23.83,12.26,16.98,4.535,18.97,29.34,50.32
48,23.83,12.26,16.98,4.535,18.97,29.34,50.32
49,23.83,12.26,16.98,4.535,18.97,29.34,50.32
50,23.83,12.26,16.98,4.535,18.97,29.34,50.32
51,23.83,12.26,16.98,4.535,18.97,29.34,50.32
52,23.83,12.26,16.98,4.535,18.97,29.34,50.32
53,23.83,12.26,16.98,4.535,18.97,29.34,50.32
54,23.83,12.26,16.98,4.535,18.97,29.34,50.32
55,23.83,12.26,16.98,4.535,18.97,29.34,50.32
56,23.83,12.26,16.98,4.535,18.97,29.34,50.32
57,23.83,12.26,16.98,4.535,18.97,29.34,50.32
58,23.83,12.26,16.98,4.535,18.97,29.34,50.32
59,23.83,12.26,16.98,4.535,18.97,29.34,50.32
60,23.83,12.26,16.98,4.535,18.97,29.34,50.32
