Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AM,elec_BR_AP,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MG,elec_BR_MS,elec_BR_MT,elec_BR_PA,elec_BR_PB,elec_BR_PE,elec_BR_PI,elec_BR_PR,elec_BR_RJ,elec_BR_RN,elec_BR_RO,elec_BR_RR,elec_BR_RS,elec_BR_SC,elec_BR_SE,elec_BR_SP,elec_BR_TO
1,201.201010502621,578.1477562015982,1063.351995296621,204.81534274089952,2828.649151288128,1847.1301337625569,663.364768919178,1856.7404025052513,1984.3729733511414,1195.9594158636985,8105.128595326484,1303.68501397032,1930.8178945075342,1815.7308643080823,754.7443110764384,1723.2245534534247,706.378888716895,4155.298733818265,4729.842512367123,867.3957668087215,502.8409183003424,205.76268856972146,4298.1788180529675,3486.4804302002285,473.1900976771689,16425.905037776258,378.7451751687215
2,188.684735768621,546.6506100915981,1010.505054166621,187.77251785689953,2674.973717488128,1717.893675192557,629.987408479178,1781.118676505251,1843.0722341511416,1122.3952807636986,7766.8092901264845,1214.9400454703198,1858.4219928075343,1732.5848070280822,699.9682356164384,1628.0645124434247,661.391665116895,3973.2326221182648,4503.933497097123,812.3386130887214,459.9959860403425,190.37638462372146,4058.3253883529683,3324.851079800228,444.4454527971689,15499.552062876255,348.2263305687215
3,174.843076782621,511.78541763159825,932.529346776621,171.11770047289954,2504.732715588128,1583.098240682557,575.3158573891781,1673.960167305251,1706.2791283511415,1061.8149462636986,7354.280409226485,1132.0491101703196,1782.1860840075342,1647.376513078082,648.5756581864384,1496.9929997034249,616.313085716895,3718.961977318265,4143.210406997123,754.4296545187215,421.10510534034245,174.92544628072147,3784.935988752968,3107.4152804002283,414.624086117169,14170.408367676255,322.3598858287215
4,164.211441133621,485.88299482159823,862.220350086621,158.9896600438995,2357.1947797681282,1471.817179532557,527.0669720591782,1575.1749573052512,1600.1192441511414,1003.4665715336987,6906.694572726483,1057.2485736703197,1715.316010907534,1547.9113047780822,604.9296176864383,1384.4301858634246,582.0910701168949,3474.3978165182652,3804.1169411271235,707.2867192087214,390.00506054034247,163.96718023772146,3548.1872845529683,2883.7640098002285,390.31438167716897,12975.885708576256,302.5213269887215
5,161.104036296621,488.7678936715982,875.6703449066208,155.23609242789954,2391.572151388128,1463.9012636925572,521.6420950621781,1605.073926705251,1613.3013636511416,1024.6916308636985,7197.323106426484,1058.1459543703197,1711.8835394075343,1608.637636338082,599.4763304364384,1383.984566873425,568.7588484168949,3545.5278930182644,3831.356677797123,704.1474316987214,383.9011320703424,159.43564390372146,3582.430654952968,2954.2607176002284,392.939464037169,13243.782611276256,298.0434618187215
6,158.81178764062102,485.08454589159817,870.329802288621,153.26572979389954,2394.094899418128,1454.051700772557,515.0286107991782,1604.269534105251,1601.3942259511416,1020.1343992036986,7228.4003782264845,1056.8235563703197,1706.5699274075344,1608.9984652280823,592.3201533864384,1365.5302239034247,557.7460266168949,3544.457204818265,3842.061300257123,697.2810565487215,381.5124372303424,156.6179004367215,3582.789909952968,2958.1629859002287,392.16675377716894,13245.217997676255,295.3945256587215
7,161.730560321621,487.2113489515982,878.373409076621,154.01770852689953,2439.424969588128,1472.752621922557,547.9581432891781,1624.484604805251,1646.2733310511414,1024.7457969636987,7301.810596226484,1085.0447332703197,1721.790115007534,1617.9791495280822,602.8416662764383,1394.9479376434247,562.576184116895,3607.4862876182647,3886.7978804871227,704.1862111887215,389.0447691703424,158.23262133672148,3637.3957775529684,2996.4830403002284,398.58494358716894,13560.829686076255,303.2398896587215
8,166.039518782621,487.9949980615982,897.7708098766209,159.23042041589954,2482.3077667881284,1519.4182262625573,564.4481892391781,1645.811215505251,1696.6636025511416,1023.1180034636986,7388.655116326483,1117.7708808703196,1753.7769726075342,1613.0016184280823,614.9128842164382,1422.4554956534248,574.9679016168949,3717.539741718265,4014.3506017671234,719.4150692887215,402.1044494003424,163.02362099472145,3749.266127552968,3076.179741000228,407.47699721716896,13973.812939976255,314.5640551187215
9,208.669178006621,610.3439190615982,1196.2500976166211,209.88567910889955,3105.365678888128,1983.6494592625572,766.7971546691781,2068.747392305251,2143.962094851142,1238.9924719636986,9232.538758326484,1425.8549941703197,2012.9870541075343,1982.4734561380822,781.7693214064384,1845.6932494534246,703.2155338168949,4760.126380618264,5492.265769067123,903.7916361487215,530.9742878403425,208.49316710572148,4734.561071952968,3992.7659223002283,510.4597158671689,19274.850382776254,388.9407403087215
10,200.336762079621,609.1439877215983,1176.588566846621,199.57525503389954,3126.588426588128,1943.374282662557,724.7264346791782,2073.461281405251,2177.7104381511417,1283.1563944636991,9509.215380326483,1422.3262543703197,1999.688623007534,2068.985932018082,770.2068864964384,1799.9345840534247,679.876549616895,4833.8230118182655,5290.095617667123,886.2883986087215,513.2758715803425,198.31419979472147,4761.445577552968,4024.9152821002285,511.813863117169,19122.200542776256,386.4824306087215
11,204.55216348162102,629.2069226215981,1243.2369537366208,205.10441616389951,3219.181619588128,2000.8540684625573,800.528848079178,2160.6616615052512,2245.5039838511416,1282.1010372636986,9897.774808326483,1469.6504868703198,2040.109610307534,2125.936096928082,785.8139999964384,1865.8247110534246,692.2604013168949,5084.687926818265,5642.082754367123,909.5351990087215,527.9079935603426,200.98859654472147,4960.551187152967,4301.387464400228,524.5781242071689,20468.770409776254,391.2439562087215
12,221.964406852621,665.5297080915982,1318.3138218666209,226.56842070389953,3406.8009152881277,2168.9859549625567,854.8053714491781,2265.3432524052514,2385.816378751142,1357.1430068636985,10297.102523326485,1559.8105852703197,2121.5229594075345,2210.077382138082,846.7178421164383,1997.8105955534247,742.112712216895,5348.226916318265,6040.472449867123,975.6446306787215,579.1513070103425,220.11078560172146,5252.170875352967,4505.252435000229,557.785125427169,21744.364707776258,416.9211901187215
13,204.03429056562103,618.914939621598,1202.1340402666208,205.19747294689952,3188.845582488128,1977.633748062557,788.6192327591781,2098.8002287052514,2207.2068439511418,1258.4702572636986,9533.428685326484,1439.5714790703198,2028.159549407534,2058.503204428082,777.1687736964384,1820.8020603534248,689.2082572168949,4968.200617718265,5493.975453267123,901.5787545587215,526.9078991203426,200.67626533172145,4875.740302152967,4137.8686261002285,516.3892204771689,19895.03421177626,387.7371321587215
14,204.65495217362104,605.2908372715982,1177.113725096621,206.21198900789955,3096.9065937881282,1953.8494219625572,782.6501265491783,2039.1325834052511,2158.5455269511417,1225.5135118636988,9118.515155326484,1413.9908386703198,2017.1091996075343,1969.0692609280823,769.7145656464382,1798.2090559534247,698.2757413168949,4819.226782618265,5384.002359867123,888.8986490387215,518.8568182103425,203.33044502472148,4741.348383452968,3997.0123468002284,506.22299120716895,19225.038488776256,385.94101489872145
15,203.51532668762098,621.5654312215981,1208.0559130066208,204.43551200689953,3198.835481288128,1977.6451886625568,779.5218639591782,2102.111534905251,2229.0209324511416,1285.3637865636988,9632.200682326486,1439.1968547703195,2048.2614069075344,2117.125330828082,781.9452556564383,1839.8802672534248,700.0445397168951,4983.057630518265,5461.704865667123,905.6131501587214,523.2247032003424,202.61906895172146,4845.430040752968,4118.027677200228,519.0814498371689,19827.297084776255,388.3126591387215
16,199.705014201621,617.5307767615982,1198.816402086621,200.59637746889953,3186.4857636881284,1943.7892908625572,774.6909808391781,2086.191373605251,2200.349333751142,1275.6392900636986,9585.839983326485,1420.3697745703198,2039.502498207534,2109.118122228082,766.6861773864383,1827.9038060534247,688.8128208168949,4954.2023534182645,5403.086504167123,898.7061239687215,518.3114112603425,199.30019398272148,4798.807457052968,4077.342867300228,511.1719033671689,19616.510188776258,384.49024467872147
17,211.771430862621,641.3611864315982,1251.3539632466209,214.77613242089953,3275.0102500881285,2048.209348462557,816.2059703491781,2154.9887439052513,2305.7766979511416,1319.0650781636987,9844.462047326486,1490.46841797032,2087.6771784075345,2147.4716093280817,810.1396560764383,1899.9310504534249,722.279148716895,5086.213083218266,5650.085055267124,936.0971878687216,550.0598634703425,211.80949882672147,4962.653978052967,4229.987912600229,530.3623297571689,20433.69739077626,405.61889415872145
18,201.906325274621,614.9890134015982,1212.187826156621,200.73661191389954,3223.984898188128,1956.3879681625572,802.8837180891782,2107.0583968052515,2232.8215621511417,1250.9339536636985,9575.607394326486,1471.2742944703195,2034.148194507534,2063.827453528082,773.9302617364384,1825.8348561534249,691.057567016895,4996.810403518264,5482.008207267123,898.0502190487215,519.7974055903425,200.20002330872148,4825.429636852968,4137.392480400228,514.3808425271689,19991.88418577626,389.4473810187215
19,227.50348455062098,656.6418763515982,1289.863256986621,231.40652872089953,3372.4506750881283,2156.589183962557,896.355834909178,2189.170850205251,2353.6878002511417,1284.7858501636986,9596.550525326484,1568.7194709703197,2121.1136174075345,2014.276131628082,854.6940510764384,1986.9183844534246,774.3403411168949,5172.203520718264,5921.243790167124,976.5204573887215,583.2097884103425,229.22495489372147,5113.039221052967,4319.173071300228,547.2491937871689,21113.316580776256,426.9899129087214
20,231.15751245662102,598.7374022715981,1146.0355427266209,235.93307967289954,2959.742341388128,2064.220885162557,878.4268675691782,1943.8685250052506,2149.8866067511417,1113.3913857636985,7882.137018326484,1459.9220133703197,2041.092720707534,1614.8953629280822,817.4362449264383,1863.4399654534247,779.934129616895,4572.399214118264,5432.430346867123,928.8580454287215,566.6302707603425,235.21545110872148,4682.358174152968,3779.2802612002283,505.628831097169,18597.34501177626,420.87666577872153
21,259.158133072621,648.3575557815982,1244.377480726621,271.5583871888996,3152.188398988128,2313.815027062557,925.1871798991781,2064.4639750052515,2330.512293351142,1228.2846483636986,8224.553107326483,1586.2811091703197,2158.883851707534,1709.7658750280823,913.9605215064385,2047.310767653425,869.627234416895,4759.539710418265,5870.148419767123,1019.2304791887216,644.7439517003424,269.96416286372147,5062.141324652967,3988.5625441002285,551.481758827169,19864.103270776257,466.4048855787215
22,266.65161478862103,662.3257199015982,1257.703741676621,281.8008239768996,3171.332574588128,2370.5226138625567,934.6898327891781,2066.410934805251,2355.603910851142,1254.5418558636986,8220.298281326483,1594.6980626703198,2189.5824620075346,1723.2715722280823,939.5470158164384,2107.4390964534246,897.455405916895,4717.684145218264,5911.675330967123,1045.3538048487214,664.9903538403424,280.4387408407215,5101.114582652968,4003.1790648002284,561.1165013671689,19886.125843776255,476.2528973687215
23,257.640472313621,692.8483546015982,1318.7591969566208,270.54144968689957,3386.122869388128,2366.352570262557,891.5655287991782,2200.286338105251,2452.602410851142,1409.2691263636987,9425.565828326484,1615.9257497703197,2215.8121160075343,2043.8404808580824,948.4074105264383,2154.682441953425,875.048754916895,5037.437073118264,6047.745562367123,1062.1845774687215,658.3148222903425,269.0543311997215,5266.705433652968,4271.765087600228,579.152501807169,20984.56476877626,474.4172951387215
24,240.498420932621,661.2703882215982,1245.048149946621,249.79281680589952,3251.0216771881283,2211.970857762557,810.8303214791781,2105.7280416052513,2314.7945038511416,1377.5344516636987,9143.701195326485,1518.1659631703199,2134.356565407534,2033.4450322780822,891.4945633764384,2037.8171175534244,821.839996216895,4764.664245518265,5652.074735567124,1007.4559183587214,610.7116879803425,249.3066194867215,4981.774783752968,4052.463173500228,547.5241071471688,19570.374560776258,447.32464429872147
25,193.633546073621,550.0373860715981,1004.657793266621,195.7288978848995,2671.078982288128,1764.410105682557,637.7061255891781,1783.3250721052511,1864.2363254511415,1165.2495343636986,7919.520554026484,1212.6642012703198,1851.6867448075343,1702.0591852280822,718.1017178164383,1638.8609194634246,679.2926794168949,3970.7639657182644,4499.348600137124,785.3758560987214,477.57701789034246,199.46121127672149,4104.847630352968,3343.9979060002283,446.169970967169,15550.483666676255,361.2732073487215
