Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
104,34.27,83.39,37.53,4.535,38.68,51.77,83.39
105,34.27,83.39,37.53,4.535,38.68,51.77,83.39
106,34.27,83.39,37.53,4.535,38.68,51.77,83.39
107,34.27,83.39,37.53,4.535,38.68,51.77,83.39
108,34.27,83.39,37.53,4.535,38.68,51.77,83.39
109,34.27,83.39,37.53,4.535,38.68,51.77,83.39
110,34.27,83.39,37.53,4.535,38.68,51.77,83.39
111,34.27,83.39,37.53,4.535,38.68,51.77,83.39
112,34.27,83.39,37.53,4.535,38.68,51.77,83.39
113,34.27,83.39,37.53,4.535,38.68,51.77,83.39
114,34.27,83.39,37.53,4.535,38.68,51.77,83.39
115,34.27,83.39,37.53,4.535,38.68,51.77,83.39
116,34.27,83.39,37.53,4.535,38.68,51.77,83.39
117,34.27,83.39,37.53,4.535,38.68,51.77,83.39
118,34.27,83.39,37.53,4.535,38.68,51.77,83.39
119,34.27,83.39,37.53,4.535,38.68,51.77,83.39
120,34.27,83.39,37.53,4.535,38.68,51.77,83.39
121,34.27,83.39,37.53,4.535,38.68,51.77,83.39
122,34.27,83.39,37.53,4.535,38.68,51.77,83.39
123,34.27,83.39,37.53,4.535,38.68,51.77,83.39
124,34.27,83.39,37.53,4.535,38.68,51.77,83.39
125,34.27,83.39,37.53,4.535,38.68,51.77,83.39
126,34.27,83.39,37.53,4.535,38.68,51.77,83.39
127,34.27,83.39,37.53,4.535,38.68,51.77,83.39
128,34.27,83.39,37.53,4.535,38.68,51.77,83.39
129,34.27,83.39,37.53,4.535,38.68,51.77,83.39
130,34.27,83.39,37.53,4.535,38.68,51.77,83.39
131,34.27,83.39,37.53,4.535,38.68,51.77,83.39
132,34.27,83.39,37.53,4.535,38.68,51.77,83.39
133,34.27,83.39,37.53,4.535,38.68,51.77,83.39
134,34.27,83.39,37.53,4.535,38.68,51.77,83.39
135,34.27,83.39,37.53,4.535,38.68,51.77,83.39
136,34.27,83.39,37.53,4.535,38.68,51.77,83.39
137,34.27,83.39,37.53,4.535,38.68,51.77,83.39
138,34.27,83.39,37.53,4.535,38.68,51.77,83.39
139,34.27,83.39,37.53,4.535,38.68,51.77,83.39
140,34.27,83.39,37.53,4.535,38.68,51.77,83.39
141,34.27,83.39,37.53,4.535,38.68,51.77,83.39
142,34.27,83.39,37.53,4.535,38.68,51.77,83.39
143,34.27,83.39,37.53,4.535,38.68,51.77,83.39
144,34.27,83.39,37.53,4.535,38.68,51.77,83.39
145,34.27,83.39,37.53,4.535,38.68,51.77,83.39
146,34.27,83.39,37.53,4.535,38.68,51.77,83.39
147,34.27,83.39,37.53,4.535,38.68,51.77,83.39
148,34.27,83.39,37.53,4.535,38.68,51.77,83.39
149,34.27,83.39,37.53,4.535,38.68,51.77,83.39
150,34.27,83.39,37.53,4.535,38.68,51.77,83.39
151,34.27,83.39,37.53,4.535,38.68,51.77,83.39
152,34.27,83.39,37.53,4.535,38.68,51.77,83.39
153,34.27,83.39,37.53,4.535,38.68,51.77,83.39
154,34.27,83.39,37.53,4.535,38.68,51.77,83.39
155,34.27,83.39,37.53,4.535,38.68,51.77,83.39
156,34.27,83.39,37.53,4.535,38.68,51.77,83.39
157,34.27,83.39,37.53,4.535,38.68,51.77,83.39
158,34.27,83.39,37.53,4.535,38.68,51.77,83.39
159,34.27,83.39,37.53,4.535,38.68,51.77,83.39
160,34.27,83.39,37.53,4.535,38.68,51.77,83.39
161,34.27,83.39,37.53,4.535,38.68,51.77,83.39
162,34.27,83.39,37.53,4.535,38.68,51.77,83.39
163,34.27,83.39,37.53,4.535,38.68,51.77,83.39
164,34.27,83.39,37.53,4.535,38.68,51.77,83.39
165,34.27,83.39,37.53,4.535,38.68,51.77,83.39
166,34.27,83.39,37.53,4.535,38.68,51.77,83.39
167,34.27,83.39,37.53,4.535,38.68,51.77,83.39
168,34.27,83.39,37.53,4.535,38.68,51.77,83.39
169,34.27,83.39,37.53,4.535,38.68,51.77,83.39
170,34.27,83.39,37.53,4.535,38.68,51.77,83.39
171,34.27,83.39,37.53,4.535,38.68,51.77,83.39
172,34.27,83.39,37.53,4.535,38.68,51.77,83.39
173,34.27,83.39,37.53,4.535,38.68,51.77,83.39
174,34.27,83.39,37.53,4.535,38.68,51.77,83.39
175,34.27,83.39,37.53,4.535,38.68,51.77,83.39
176,34.27,83.39,37.53,4.535,38.68,51.77,83.39
177,34.27,83.39,37.53,4.535,38.68,51.77,83.39
178,34.27,83.39,37.53,4.535,38.68,51.77,83.39
179,34.27,83.39,37.53,4.535,38.68,51.77,83.39
180,34.27,83.39,37.53,4.535,38.68,51.77,83.39
181,34.27,83.39,37.53,4.535,38.68,51.77,83.39
182,34.27,83.39,37.53,4.535,38.68,51.77,83.39
183,34.27,83.39,37.53,4.535,38.68,51.77,83.39
184,34.27,83.39,37.53,4.535,38.68,51.77,83.39
185,34.27,83.39,37.53,4.535,38.68,51.77,83.39
186,34.27,83.39,37.53,4.535,38.68,51.77,83.39
187,34.27,83.39,37.53,4.535,38.68,51.77,83.39
188,34.27,83.39,37.53,4.535,38.68,51.77,83.39
189,34.27,83.39,37.53,4.535,38.68,51.77,83.39
190,34.27,83.39,37.53,4.535,38.68,51.77,83.39
191,34.27,83.39,37.53,4.535,38.68,51.77,83.39
192,34.27,83.39,37.53,4.535,38.68,51.77,83.39
193,34.27,83.39,37.53,4.535,38.68,51.77,83.39
194,34.27,83.39,37.53,4.535,38.68,51.77,83.39
195,34.27,83.39,37.53,4.535,38.68,51.77,83.39
196,34.27,83.39,37.53,4.535,38.68,51.77,83.39
197,34.27,83.39,37.53,4.535,38.68,51.77,83.39
198,34.27,83.39,37.53,4.535,38.68,51.77,83.39
199,34.27,83.39,37.53,4.535,38.68,51.77,83.39
200,34.27,83.39,37.53,4.535,38.68,51.77,83.39
201,34.27,83.39,37.53,4.535,38.68,51.77,83.39
202,34.27,83.39,37.53,4.535,38.68,51.77,83.39
203,34.27,83.39,37.53,4.535,38.68,51.77,83.39
204,34.27,83.39,37.53,4.535,38.68,51.77,83.39
205,34.27,83.39,37.53,4.535,38.68,51.77,83.39
206,34.27,83.39,37.53,4.535,38.68,51.77,83.39
207,34.27,83.39,37.53,4.535,38.68,51.77,83.39
208,34.27,83.39,37.53,4.535,38.68,51.77,83.39
209,34.27,83.39,37.53,4.535,38.68,51.77,83.39
210,34.27,83.39,37.53,4.535,38.68,51.77,83.39
211,34.27,83.39,37.53,4.535,38.68,51.77,83.39
212,34.27,83.39,37.53,4.535,38.68,51.77,83.39
213,34.27,83.39,37.53,4.535,38.68,51.77,83.39
214,34.27,83.39,37.53,4.535,38.68,51.77,83.39
215,34.27,83.39,37.53,4.535,38.68,51.77,83.39
216,34.27,83.39,37.53,4.535,38.68,51.77,83.39
217,34.27,83.39,37.53,4.535,38.68,51.77,83.39
218,34.27,83.39,37.53,4.535,38.68,51.77,83.39
219,34.27,83.39,37.53,4.535,38.68,51.77,83.39
220,34.27,83.39,37.53,4.535,38.68,51.77,83.39
221,34.27,83.39,37.53,4.535,38.68,51.77,83.39
222,34.27,83.39,37.53,4.535,38.68,51.77,83.39
223,34.27,83.39,37.53,4.535,38.68,51.77,83.39
224,34.27,83.39,37.53,4.535,38.68,51.77,83.39
225,34.27,83.39,37.53,4.535,38.68,51.77,83.39
226,34.27,83.39,37.53,4.535,38.68,51.77,83.39
227,34.27,83.39,37.53,4.535,38.68,51.77,83.39
228,34.27,83.39,37.53,4.535,38.68,51.77,83.39
229,34.27,83.39,37.53,4.535,38.68,51.77,83.39
230,34.27,83.39,37.53,4.535,38.68,51.77,83.39
231,34.27,83.39,37.53,4.535,38.68,51.77,83.39
232,34.27,83.39,37.53,4.535,38.68,51.77,83.39
233,34.27,83.39,37.53,4.535,38.68,51.77,83.39
234,34.27,83.39,37.53,4.535,38.68,51.77,83.39
235,34.27,83.39,37.53,4.535,38.68,51.77,83.39
236,34.27,83.39,37.53,4.535,38.68,51.77,83.39
237,34.27,83.39,37.53,4.535,38.68,51.77,83.39
238,34.27,83.39,37.53,4.535,38.68,51.77,83.39
239,34.27,83.39,37.53,4.535,38.68,51.77,83.39
240,34.27,83.39,37.53,4.535,38.68,51.77,83.39
241,34.27,83.39,37.53,4.535,38.68,51.77,83.39
242,34.27,83.39,37.53,4.535,38.68,51.77,83.39
243,34.27,83.39,37.53,4.535,38.68,51.77,83.39
244,34.27,83.39,37.53,4.535,38.68,51.77,83.39
245,34.27,83.39,37.53,4.535,38.68,51.77,83.39
246,34.27,83.39,37.53,4.535,38.68,51.77,83.39
247,34.27,83.39,37.53,4.535,38.68,51.77,83.39
248,34.27,83.39,37.53,4.535,38.68,51.77,83.39
249,34.27,83.39,37.53,4.535,38.68,51.77,83.39
250,34.27,83.39,37.53,4.535,38.68,51.77,83.39
251,34.27,83.39,37.53,4.535,38.68,51.77,83.39
252,34.27,83.39,37.53,4.535,38.68,51.77,83.39
253,34.27,83.39,37.53,4.535,38.68,51.77,83.39
254,34.27,83.39,37.53,4.535,38.68,51.77,83.39
255,34.27,83.39,37.53,4.535,38.68,51.77,83.39
256,34.27,83.39,37.53,4.535,38.68,51.77,83.39
257,34.27,83.39,37.53,4.535,38.68,51.77,83.39
258,34.27,83.39,37.53,4.535,38.68,51.77,83.39
259,34.27,83.39,37.53,4.535,38.68,51.77,83.39
260,34.27,83.39,37.53,4.535,38.68,51.77,83.39
261,34.27,83.39,37.53,4.535,38.68,51.77,83.39
262,34.27,83.39,37.53,4.535,38.68,51.77,83.39
263,34.27,83.39,37.53,4.535,38.68,51.77,83.39
264,34.27,83.39,37.53,4.535,38.68,51.77,83.39
265,34.27,83.39,37.53,4.535,38.68,51.77,83.39
266,34.27,83.39,37.53,4.535,38.68,51.77,83.39
267,34.27,83.39,37.53,4.535,38.68,51.77,83.39
268,34.27,83.39,37.53,4.535,38.68,51.77,83.39
269,34.27,83.39,37.53,4.535,38.68,51.77,83.39
270,34.27,83.39,37.53,4.535,38.68,51.77,83.39
271,34.27,83.39,37.53,4.535,38.68,51.77,83.39
272,34.27,83.39,37.53,4.535,38.68,51.77,83.39
273,34.27,83.39,37.53,4.535,38.68,51.77,83.39
274,34.27,83.39,37.53,4.535,38.68,51.77,83.39
275,34.27,83.39,37.53,4.535,38.68,51.77,83.39
276,34.27,83.39,37.53,4.535,38.68,51.77,83.39
277,34.27,83.39,37.53,4.535,38.68,51.77,83.39
278,34.27,83.39,37.53,4.535,38.68,51.77,83.39
279,34.27,83.39,37.53,4.535,38.68,51.77,83.39
280,34.27,83.39,37.53,4.535,38.68,51.77,83.39
281,34.27,83.39,37.53,4.535,38.68,51.77,83.39
282,34.27,83.39,37.53,4.535,38.68,51.77,83.39
283,34.27,83.39,37.53,4.535,38.68,51.77,83.39
284,34.27,83.39,37.53,4.535,38.68,51.77,83.39
285,34.27,83.39,37.53,4.535,38.68,51.77,83.39
286,34.27,83.39,37.53,4.535,38.68,51.77,83.39
287,34.27,83.39,37.53,4.535,38.68,51.77,83.39
288,34.27,83.39,37.53,4.535,38.68,51.77,83.39
289,34.27,83.39,37.53,4.535,38.68,51.77,83.39
290,34.27,83.39,37.53,4.535,38.68,51.77,83.39
291,34.27,83.39,37.53,4.535,38.68,51.77,83.39
292,34.27,83.39,37.53,4.535,38.68,51.77,83.39
293,34.27,83.39,37.53,4.535,38.68,51.77,83.39
294,34.27,83.39,37.53,4.535,38.68,51.77,83.39
295,34.27,83.39,37.53,4.535,38.68,51.77,83.39
296,34.27,83.39,37.53,4.535,38.68,51.77,83.39
297,34.27,83.39,37.53,4.535,38.68,51.77,83.39
298,34.27,83.39,37.53,4.535,38.68,51.77,83.39
299,34.27,83.39,37.53,4.535,38.68,51.77,83.39
300,34.27,83.39,37.53,4.535,38.68,51.77,83.39
301,34.27,83.39,37.53,4.535,38.68,51.77,83.39
302,34.27,83.39,37.53,4.535,38.68,51.77,83.39
303,34.27,83.39,37.53,4.535,38.68,51.77,83.39
304,34.27,83.39,37.53,4.535,38.68,51.77,83.39
305,34.27,83.39,37.53,4.535,38.68,51.77,83.39
306,34.27,83.39,37.53,4.535,38.68,51.77,83.39
307,34.27,83.39,37.53,4.535,38.68,51.77,83.39
308,34.27,83.39,37.53,4.535,38.68,51.77,83.39
309,34.27,83.39,37.53,4.535,38.68,51.77,83.39
310,34.27,83.39,37.53,4.535,38.68,51.77,83.39
311,34.27,83.39,37.53,4.535,38.68,51.77,83.39
312,34.27,83.39,37.53,4.535,38.68,51.77,83.39
313,34.27,83.39,37.53,4.535,38.68,51.77,83.39
314,34.27,83.39,37.53,4.535,38.68,51.77,83.39
315,34.27,83.39,37.53,4.535,38.68,51.77,83.39
316,34.27,83.39,37.53,4.535,38.68,51.77,83.39
317,34.27,83.39,37.53,4.535,38.68,51.77,83.39
318,34.27,83.39,37.53,4.535,38.68,51.77,83.39
319,34.27,83.39,37.53,4.535,38.68,51.77,83.39
320,34.27,83.39,37.53,4.535,38.68,51.77,83.39
321,34.27,83.39,37.53,4.535,38.68,51.77,83.39
322,34.27,83.39,37.53,4.535,38.68,51.77,83.39
323,34.27,83.39,37.53,4.535,38.68,51.77,83.39
324,34.27,83.39,37.53,4.535,38.68,51.77,83.39
325,34.27,83.39,37.53,4.535,38.68,51.77,83.39
326,34.27,83.39,37.53,4.535,38.68,51.77,83.39
327,34.27,83.39,37.53,4.535,38.68,51.77,83.39
328,34.27,83.39,37.53,4.535,38.68,51.77,83.39
329,34.27,83.39,37.53,4.535,38.68,51.77,83.39
330,34.27,83.39,37.53,4.535,38.68,51.77,83.39
331,34.27,83.39,37.53,4.535,38.68,51.77,83.39
332,34.27,83.39,37.53,4.535,38.68,51.77,83.39
333,34.27,83.39,37.53,4.535,38.68,51.77,83.39
