Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--charcoal_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--charcoal_edge--commodity,edges--charcoal_edge--unidirectional,edges--charcoal_edge--has_capacity,edges--charcoal_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSCharcoal,BR_MS_BECCS_charcoal,BR_MS,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_MS,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_CW,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_MS
BECCSCharcoal,BR_MG_BECCS_charcoal,BR_MG,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_MG,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_SE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_MG
BECCSCharcoal,BR_PA_BECCS_charcoal,BR_PA,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_PA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_PA
BECCSCharcoal,BR_PB_BECCS_charcoal,BR_PB,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_PB,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_PB
BECCSCharcoal,BR_PR_BECCS_charcoal,BR_PR,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_PR,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_S,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_PR
BECCSCharcoal,BR_PE_BECCS_charcoal,BR_PE,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_PE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_PE
BECCSCharcoal,BR_PI_BECCS_charcoal,BR_PI,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_PI,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_PI
BECCSCharcoal,BR_RJ_BECCS_charcoal,BR_RJ,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_RJ,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_SE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_RJ
BECCSCharcoal,BR_RN_BECCS_charcoal,BR_RN,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_RN,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_RN
BECCSCharcoal,BR_RS_BECCS_charcoal,BR_RS,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_RS,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_S,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_RS
BECCSCharcoal,BR_RO_BECCS_charcoal,BR_RO,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_RO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_RO
BECCSCharcoal,BR_RR_BECCS_charcoal,BR_RR,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_RR,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_RR
BECCSCharcoal,BR_SC_BECCS_charcoal,BR_SC,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_SC,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_S,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_SC
BECCSCharcoal,BR_SP_BECCS_charcoal,BR_SP,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_SP,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_SE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_SP
BECCSCharcoal,BR_SE_BECCS_charcoal,BR_SE,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_SE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_SE
BECCSCharcoal,BR_TO_BECCS_charcoal,BR_TO,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_TO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_TO
