elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,elec_demand_MW
10128,2892,1381,1381,2892
9850,2813,1343,1343,2813
9147,2612,1247,1247,2612
8199,2341,1118,1118,2341
7325,2092,999,999,2092
6740,1925,919,919,1925
6425,1834,876,876,1834
6264,1789,853,853,1789
6257,1787,853,853,1787
6405,1829,873,873,1829
7053,2014,961,961,2014
8360,2388,1140,1140,2388
9166,2618,1250,1250,2618
9354,2671,1275,1275,2671
9463,2703,1290,1290,2703
9550,2727,1302,1302,2727
9566,2732,1304,1304,2732
9480,2707,1292,1292,2707
9460,2701,1290,1290,2701
9358,2673,1276,1276,2673
9286,2652,1266,1266,2652
9356,2672,1276,1276,2672
9577,2735,1306,1306,2735
9809,2801,1338,1338,2801
10169,2904,1386,1386,2904
9908,2830,1351,1351,2830
9251,2642,1261,1261,2642
8331,2379,1136,1136,2379
7488,2138,1020,1020,2138
6946,1983,947,947,1983
6646,1898,906,906,1898
6500,1856,886,886,1856
6489,1853,884,884,1853
6670,1905,909,909,1905
7351,2099,1002,1002,2099
8696,2484,1186,1186,2484
9549,2727,1302,1302,2727
9746,2783,1328,1328,2783
9834,2809,1341,1341,2809
9913,2831,1352,1352,2831
9869,2819,1346,1346,2819
9747,2784,1328,1328,2784
9662,2760,1318,1318,2760
9484,2709,1293,1293,2709
9390,2682,1280,1280,2682
9456,2700,1289,1289,2700
9694,2769,1322,1322,2769
10014,2860,1365,1365,2860
10428,2978,1422,1422,2978
10162,2902,1385,1385,2902
9552,2728,1302,1302,2728
8643,2468,1178,1178,2468
7788,2224,1062,1062,2224
7214,2060,984,984,2060
6893,1968,939,939,1968
6755,1929,921,921,1929
6719,1919,916,916,1919
6890,1968,939,939,1968
7542,2154,1028,1028,2154
8822,2519,1202,1202,2519
9614,2745,1311,1311,2745
9858,2815,1344,1344,2815
9984,2851,1361,1361,2851
10096,2884,1377,1377,2884
10114,2889,1378,1378,2889
10041,2868,1369,1369,2868
10001,2856,1363,1363,2856
9878,2821,1347,1347,2821
9780,2793,1333,1333,2793
9754,2785,1330,1330,2785
9785,2795,1334,1334,2795
9873,2820,1346,1346,2820
10116,2889,1379,1379,2889
9842,2811,1342,1342,2811
9332,2665,1272,1272,2665
8603,2457,1173,1173,2457
7817,2233,1065,1065,2233
7210,2059,983,983,2059
6839,1953,932,932,1953
6646,1898,906,906,1898
6556,1872,893,893,1872
6599,1884,899,899,1884
6830,1951,931,931,1951
7298,2084,994,994,2084
7834,2238,1068,1068,2238
8497,2427,1158,1158,2427
8943,2555,1219,1219,2555
9150,2613,1247,1247,2613
9123,2605,1244,1244,2605
8959,2559,1222,1222,2559
8750,2499,1192,1192,2499
8534,2437,1163,1163,2437
8354,2385,1139,1139,2385
8315,2374,1134,1134,2374
8349,2384,1138,1138,2384
8508,2429,1160,1160,2429
9060,2588,1235,1235,2588
8990,2568,1226,1226,2568
8609,2459,1173,1173,2459
8053,2300,1098,1098,2300
7430,2122,1013,1013,2122
6925,1978,944,944,1978
6616,1889,902,902,1889
6456,1843,880,880,1843
6374,1820,868,868,1820
6394,1826,872,872,1826
6556,1872,893,893,1872
6877,1964,938,938,1964
7248,2070,988,988,2070
7809,2230,1065,1065,2230
8267,2361,1127,1127,2361
8461,2416,1153,1153,2416
8497,2426,1158,1158,2426
8407,2401,1146,1146,2401
8247,2355,1124,1124,2355
8109,2316,1106,1106,2316
8033,2294,1095,1095,2294
8138,2324,1110,1110,2324
8344,2383,1137,1137,2383
8614,2460,1174,1174,2460
9319,2661,1271,1271,2661
9193,2625,1253,1253,2625
8559,2444,1166,1166,2444
7747,2213,1056,1056,2213
7009,2002,955,955,2002
6488,1853,884,884,1853
6220,1776,848,848,1776
6097,1741,831,831,1741
6095,1741,831,831,1741
6305,1801,859,859,1801
7009,2002,955,955,2002
8321,2376,1135,1135,2376
9087,2595,1239,1239,2595
9303,2657,1268,1268,2657
9426,2692,1285,1285,2692
9581,2736,1306,1306,2736
9660,2759,1317,1317,2759
9664,2760,1318,1318,2760
9701,2770,1322,1322,2770
9625,2749,1312,1312,2749
9513,2717,1297,1297,2717
9440,2696,1287,1287,2696
9438,2695,1287,1287,2695
9510,2716,1297,1297,2716
10034,2865,1368,1368,2865
9803,2800,1337,1337,2800
9053,2585,1234,1234,2585
8084,2309,1102,1102,2309
7222,2063,984,984,2063
6657,1901,908,908,1901
6364,1818,868,868,1818
6229,1779,849,849,1779
6188,1767,843,843,1767
6383,1823,870,870,1823
7038,2010,959,959,2010
8316,2375,1134,1134,2375
9058,2587,1235,1235,2587
9240,2639,1260,1260,2639
9335,2666,1272,1272,2666
9468,2704,1291,1291,2704
9552,2728,1302,1302,2728
9590,2739,1308,1308,2739
9666,2760,1318,1318,2760
9640,2753,1314,1314,2753
9594,2740,1308,1308,2740
9588,2738,1307,1307,2738
9612,2745,1310,1310,2745
9624,2749,1312,1312,2749
10133,2894,1382,1382,2894
9966,2846,1358,1358,2846
9241,2639,1260,1260,2639
8240,2353,1123,1123,2353
7373,2105,1005,1005,2105
6779,1936,924,924,1936
6465,1846,881,881,1846
6283,1794,857,857,1794
6237,1781,850,850,1781
6399,1828,873,873,1828
7020,2005,957,957,2005
8288,2367,1130,1130,2367
9036,2580,1232,1232,2580
9330,2665,1272,1272,2665
9512,2716,1297,1297,2716
9710,2773,1323,1323,2773
9832,2808,1341,1341,2808
9865,2817,1345,1345,2817
9921,2834,1353,1353,2834
9892,2825,1348,1348,2825
9842,2811,1342,1342,2811
9817,2804,1338,1338,2804
9815,2803,1338,1338,2803
9778,2793,1333,1333,2793
10245,2925,1397,1397,2925
10070,2876,1373,1373,2876
9360,2673,1276,1276,2673
8382,2394,1142,1142,2394
7475,2134,1019,1019,2134
6924,1978,944,944,1978
6561,1873,894,894,1873
6379,1822,869,869,1822
6315,1803,861,861,1803
6456,1843,880,880,1843
7061,2017,963,963,2017
8316,2375,1134,1134,2375
9067,2590,1236,1236,2590
9369,2675,1277,1277,2675
9601,2742,1309,1309,2742
9838,2810,1341,1341,2810
9967,2846,1359,1359,2846
10001,2856,1363,1363,2856
10114,2889,1379,1379,2889
10112,2888,1378,1378,2888
10096,2883,1377,1377,2883
10079,2879,1374,1374,2879
10039,2867,1368,1368,2867
9934,2837,1354,1354,2837
10363,2960,1413,1413,2960
10219,2919,1393,1393,2919
9523,2720,1298,1298,2720
8513,2431,1161,1161,2431
7619,2176,1039,1039,2176
7042,2011,960,960,2011
6684,1908,911,911,1908
6461,1845,881,881,1845
6390,1825,871,871,1825
6527,1863,889,889,1863
7096,2027,967,967,2027
8282,2365,1129,1129,2365
9039,2582,1232,1232,2582
9336,2666,1272,1272,2666
9530,2722,1299,1299,2722
9699,2770,1322,1322,2770
9746,2783,1328,1328,2783
9669,2761,1318,1318,2761
9692,2768,1321,1321,2768
9603,2743,1309,1309,2743
9488,2710,1293,1293,2710
9425,2691,1285,1285,2691
9321,2662,1271,1271,2662
9137,2610,1246,1246,2610
9519,2719,1298,1298,2719
9343,2669,1274,1274,2669
8803,2514,1200,1200,2514
8073,2305,1100,1100,2305
7301,2085,995,995,2085
6716,1918,915,915,1918
6351,1813,866,866,1813
6143,1754,838,838,1754
6033,1723,823,823,1723
6043,1726,823,823,1726
6246,1783,851,851,1783
6660,1902,908,908,1902
7157,2044,975,975,2044
7838,2239,1069,1069,2239
8325,2378,1135,1135,2378
8539,2439,1164,1164,2439
8579,2450,1170,1170,2450
8483,2423,1156,1156,2423
8313,2374,1133,1133,2374
8175,2334,1115,1115,2334
8109,2316,1106,1106,2316
8166,2332,1113,1113,2332
8373,2391,1141,1141,2391
8583,2451,1170,1170,2451
8925,2549,1216,1216,2549
8761,2502,1195,1195,2502
8313,2374,1133,1133,2374
7709,2202,1051,1051,2202
7087,2023,966,966,2023
6571,1877,896,896,1877
6231,1779,849,849,1779
6059,1730,826,826,1730
5975,1706,814,814,1706
5989,1711,817,817,1711
6126,1749,835,835,1749
6447,1841,878,878,1841
6881,1965,938,938,1965
7568,2161,1031,1031,2161
8160,2330,1112,1112,2330
8530,2436,1163,1163,2436
8748,2498,1192,1192,2498
8822,2519,1202,1202,2519
8734,2494,1191,1191,2494
8636,2466,1177,1177,2466
8569,2447,1168,1168,2447
8690,2482,1185,1185,2482
8933,2551,1218,1218,2551
9135,2609,1246,1246,2609
9515,2717,1298,1298,2717
9322,2662,1271,1271,2662
8673,2477,1182,1182,2477
7890,2254,1075,1075,2254
7164,2046,977,977,2046
6656,1901,908,908,1901
6385,1823,870,870,1823
6273,1791,855,855,1791
6282,1794,856,856,1794
6506,1858,887,887,1858
7224,2063,984,984,2063
8559,2444,1166,1166,2444
9339,2667,1273,1273,2667
9607,2744,1310,1310,2744
9718,2775,1325,1325,2775
9773,2791,1332,1332,2791
9729,2779,1327,1327,2779
9628,2749,1312,1312,2749
9570,2733,1305,1305,2733
9429,2693,1286,1286,2693
9357,2672,1276,1276,2672
9428,2693,1285,1285,2693
9682,2765,1320,1320,2765
9938,2839,1355,1355,2839
10557,3015,1439,1439,3015
10473,2991,1428,1428,2991
9846,2812,1343,1343,2812
8933,2551,1218,1218,2551
8120,2319,1107,1107,2319
7602,2171,1036,1036,2171
7349,2099,1002,1002,2099
7243,2068,987,987,2068
7256,2072,989,989,2072
7490,2138,1021,1021,2138
8214,2346,1120,1120,2346
9521,2719,1298,1298,2719
10239,2925,1396,1396,2925
10321,2947,1407,1407,2947
10295,2940,1403,1403,2940
10266,2932,1399,1399,2932
10198,2912,1390,1390,2912
10051,2870,1370,1370,2870
9907,2830,1351,1351,2830
9697,2770,1322,1322,2770
9556,2729,1302,1302,2729
9541,2725,1301,1301,2725
9675,2763,1319,1319,2763
9821,2805,1339,1339,2805
10416,2975,1420,1420,2975
10368,2961,1414,1414,2961
9734,2780,1327,1327,2780
8802,2514,1200,1200,2514
7950,2270,1084,1084,2270
7419,2119,1011,1011,2119
7123,2034,971,971,2034
6985,1995,952,952,1995
6940,1982,946,946,1982
7129,2036,972,972,2036
7814,2232,1065,1065,2232
9102,2600,1241,1241,2600
9850,2813,1343,1343,2813
9991,2854,1362,1362,2854
10009,2859,1364,1364,2859
10071,2876,1373,1373,2876
10080,2879,1374,1374,2879
10032,2865,1368,1368,2865
10005,2857,1364,1364,2857
9815,2803,1338,1338,2803
9654,2757,1316,1316,2757
9677,2764,1319,1319,2764
9788,2795,1334,1334,2795
9896,2826,1349,1349,2826
10272,2934,1400,1400,2934
10092,2882,1376,1376,2882
9415,2689,1283,1283,2689
8440,2410,1151,1151,2410
7582,2165,1034,1034,2165
7018,2004,957,957,2004
6727,1921,917,917,1921
6581,1879,897,897,1879
6556,1873,893,893,1873
6753,1928,920,920,1928
7428,2121,1013,1013,2121
8721,2491,1189,1189,2491
9477,2706,1292,1292,2706
9692,2768,1321,1321,2768
9838,2810,1341,1341,2810
9951,2842,1357,1357,2842
9968,2847,1359,1359,2847
9901,2828,1350,1350,2828
9852,2814,1343,1343,2814
9696,2769,1322,1322,2769
9638,2752,1314,1314,2752
9714,2775,1324,1324,2775
9890,2825,1348,1348,2825
10066,2875,1373,1373,2875
10410,2973,1419,1419,2973
10215,2917,1393,1393,2917
9560,2730,1303,1303,2730
8612,2459,1174,1174,2459
7785,2224,1061,1061,2224
7249,2070,988,988,2070
6963,1989,949,949,1989
6836,1953,932,932,1953
6812,1945,929,929,1945
7022,2005,957,957,2005
7705,2201,1050,1050,2201
8921,2548,1216,1216,2548
9618,2747,1311,1311,2747
9746,2783,1328,1328,2783
9767,2790,1332,1332,2790
9788,2795,1334,1334,2795
9713,2774,1324,1324,2774
9546,2726,1302,1302,2726
9444,2697,1288,1288,2697
9255,2643,1262,1262,2643
9082,2594,1238,1238,2594
9013,2574,1229,1229,2574
9007,2572,1228,1228,2572
9062,2588,1236,1236,2588
9564,2731,1304,1304,2731
9562,2730,1303,1303,2730
9127,2607,1244,1244,2607
8436,2409,1150,1150,2409
7681,2193,1047,1047,2193
7087,2024,966,966,2024
6762,1931,922,922,1931
6596,1883,899,899,1883
6546,1869,892,892,1869
6599,1885,899,899,1885
6846,1955,934,934,1955
7298,2084,994,994,2084
7929,2264,1081,1081,2264
8648,2469,1179,1179,2469
9085,2594,1238,1238,2594
9334,2665,1272,1272,2665
9377,2678,1278,1278,2678
9296,2655,1267,1267,2655
9083,2594,1238,1238,2594
8884,2537,1212,1212,2537
8759,2502,1194,1194,2502
8773,2505,1196,1196,2505
8886,2538,1212,1212,2538
8981,2564,1224,1224,2564
9364,2675,1277,1277,2675
9322,2662,1271,1271,2662
8950,2556,1220,1220,2556
8389,2396,1144,1144,2396
7741,2211,1055,1055,2211
7224,2063,984,984,2063
6903,1971,941,941,1971
6749,1928,920,920,1928
6689,1910,912,912,1910
6718,1918,916,916,1918
6906,1973,941,941,1973
7185,2052,979,979,2052
7596,2169,1035,1035,2169
8115,2318,1106,1106,2318
8450,2414,1152,1152,2414
8577,2449,1169,1169,2449
8599,2455,1172,1172,2455
8594,2454,1171,1171,2454
8540,2439,1164,1164,2439
8484,2423,1156,1156,2423
8534,2437,1163,1163,2437
8782,2508,1197,1197,2508
9153,2614,1248,1248,2614
9422,2691,1284,1284,2691
9736,2780,1328,1328,2780
9489,2710,1293,1293,2710
8872,2534,1210,1210,2534
8082,2308,1101,1101,2308
7355,2100,1003,1003,2100
6876,1963,937,937,1963
6614,1889,902,902,1889
6517,1861,888,888,1861
6532,1865,890,890,1865
6766,1933,922,922,1933
7523,2148,1025,1025,2148
8816,2518,1202,1202,2518
9589,2739,1308,1308,2739
9819,2805,1338,1338,2805
9916,2832,1352,1352,2832
9965,2846,1358,1358,2846
9892,2825,1348,1348,2825
9751,2785,1329,1329,2785
9647,2755,1315,1315,2755
9471,2704,1291,1291,2704
9332,2665,1272,1272,2665
9325,2663,1272,1272,2663
9458,2701,1289,1289,2701
9557,2730,1302,1302,2730
10085,2880,1375,1375,2880
10129,2893,1381,1381,2893
9521,2719,1298,1298,2719
8599,2455,1172,1172,2455
7736,2209,1055,1055,2209
7203,2057,982,982,2057
6932,1979,945,945,1979
6819,1948,929,929,1948
6832,1951,931,931,1951
7077,2021,964,964,2021
7830,2236,1067,1067,2236
9084,2594,1238,1238,2594
9768,2790,1332,1332,2790
9830,2807,1340,1340,2807
9815,2803,1338,1338,2803
9799,2798,1336,1336,2798
9714,2774,1324,1324,2774
9585,2737,1307,1307,2737
9479,2707,1292,1292,2707
9337,2666,1273,1273,2666
9240,2639,1260,1260,2639
9233,2637,1259,1259,2637
9323,2662,1271,1271,2662
9414,2689,1283,1283,2689
9937,2838,1355,1355,2838
9994,2855,1363,1363,2855
9333,2665,1272,1272,2665
8389,2396,1144,1144,2396
7527,2149,1026,1026,2149
6960,1988,949,949,1988
6679,1908,910,910,1908
6534,1866,891,891,1866
6513,1860,888,888,1860
6704,1914,913,913,1914
7411,2117,1010,1010,2117
8627,2464,1176,1176,2464
9314,2660,1270,1270,2660
9432,2694,1286,1286,2694
9460,2702,1290,1290,2702
9522,2720,1298,1298,2720
9523,2720,1298,1298,2720
9440,2696,1287,1287,2696
9418,2690,1284,1284,2690
9338,2667,1273,1273,2667
9238,2639,1259,1259,2639
9239,2639,1260,1260,2639
9325,2663,1272,1272,2663
9410,2687,1282,1282,2687
9863,2817,1345,1345,2817
9842,2810,1342,1342,2810
9200,2627,1254,1254,2627
8287,2366,1130,1130,2366
7424,2120,1012,1012,2120
6905,1972,941,941,1972
6630,1893,903,903,1893
6508,1858,887,887,1858
6509,1858,887,887,1858
6735,1923,919,919,1923
7448,2127,1015,1015,2127
8697,2484,1186,1186,2484
9414,2689,1283,1283,2689
9560,2730,1303,1303,2730
9634,2751,1313,1313,2751
9685,2766,1320,1320,2766
9653,2757,1316,1316,2757
9554,2729,1302,1302,2729
9489,2710,1293,1293,2710
9323,2663,1271,1271,2663
9189,2625,1252,1252,2625
9160,2616,1249,1249,2616
9222,2634,1257,1257,2634
9281,2650,1265,1265,2650
9725,2777,1326,1326,2777
9827,2806,1340,1340,2806
9316,2660,1270,1270,2660
8468,2419,1155,1155,2419
7652,2185,1043,1043,2185
7106,2029,969,969,2029
6821,1948,929,929,1948
6690,1911,912,912,1911
6683,1908,911,911,1908
6860,1959,935,935,1959
7437,2124,1014,1014,2124
8328,2379,1136,1136,2379
9012,2574,1229,1229,2574
9323,2663,1271,1271,2663
9474,2705,1292,1292,2705
9513,2717,1297,1297,2717
9423,2691,1285,1285,2691
9274,2649,1264,1264,2649
9140,2610,1246,1246,2610
8946,2555,1220,1220,2555
8784,2509,1197,1197,2509
8758,2501,1194,1194,2501
8814,2517,1202,1202,2517
8848,2527,1206,1206,2527
9241,2639,1260,1260,2639
9343,2668,1273,1273,2668
8918,2547,1216,1216,2547
8249,2356,1125,1125,2356
7548,2155,1029,1029,2155
7024,2006,958,958,2006
6720,1919,916,916,1919
6566,1875,895,895,1875
6515,1860,888,888,1860
6596,1884,899,899,1884
6865,1960,936,936,1960
7252,2071,989,989,2071
7851,2243,1070,1070,2243
8444,2411,1151,1151,2411
8754,2500,1193,1193,2500
8824,2520,1203,1203,2520
8769,2504,1196,1196,2504
8634,2466,1177,1177,2466
8461,2416,1153,1153,2416
8302,2371,1131,1131,2371
8272,2363,1128,1128,2363
8425,2406,1149,1149,2406
8648,2469,1179,1179,2469
8817,2518,1202,1202,2518
9170,2619,1250,1250,2619
9161,2616,1249,1249,2616
8740,2496,1191,1191,2496
8107,2315,1106,1106,2315
7414,2117,1010,1010,2117
6845,1955,933,933,1955
6515,1861,888,888,1861
6319,1804,861,861,1804
6247,1784,852,852,1784
6279,1793,856,856,1793
6458,1844,880,880,1844
6766,1933,922,922,1933
7333,2094,999,999,2094
7978,2279,1088,1088,2279
8380,2394,1142,1142,2394
8520,2433,1161,1161,2433
8601,2456,1172,1172,2456
8527,2435,1162,1162,2435
8221,2348,1120,1120,2348
7912,2259,1079,1079,2259
7740,2210,1055,1055,2210
7701,2199,1050,1050,2199
7789,2224,1062,1062,2224
8001,2285,1090,1090,2285
8614,2460,1174,1174,2460
8920,2548,1216,1216,2548
8439,2409,1151,1151,2409
7707,2201,1050,1050,2201
7031,2008,959,959,2008
6579,1879,897,897,1879
6359,1816,867,867,1816
6277,1793,856,856,1793
6282,1794,856,856,1794
6511,1859,888,888,1859
7238,2067,987,987,2067
8426,2406,1149,1149,2406
9225,2635,1257,1257,2635
9508,2715,1297,1297,2715
9628,2749,1312,1312,2749
9735,2780,1328,1328,2780
9736,2780,1328,1328,2780
9657,2758,1317,1317,2758
9585,2737,1307,1307,2737
9429,2693,1286,1286,2693
9322,2662,1271,1271,2662
9323,2663,1271,1271,2663
9432,2694,1286,1286,2694
9526,2720,1298,1298,2720
9928,2835,1353,1353,2835
9944,2840,1356,1356,2840
9255,2643,1262,1262,2643
8312,2374,1133,1133,2374
7435,2124,1014,1014,2124
6909,1973,942,942,1973
6643,1898,906,906,1898
6523,1863,889,889,1863
6513,1860,888,888,1860
6737,1924,919,919,1924
7437,2124,1014,1014,2124
8592,2454,1171,1171,2454
9316,2660,1270,1270,2660
9460,2702,1290,1290,2702
9521,2719,1298,1298,2719
9583,2737,1307,1307,2737
9561,2730,1303,1303,2730
9503,2714,1296,1296,2714
9480,2707,1292,1292,2707
9352,2670,1275,1275,2670
9242,2639,1260,1260,2639
9257,2644,1262,1262,2644
9331,2665,1272,1272,2665
9395,2683,1281,1281,2683
9811,2802,1338,1338,2802
9848,2813,1343,1343,2813
9175,2620,1251,1251,2620
8230,2350,1122,1122,2350
7377,2107,1005,1005,2107
6850,1957,934,934,1957
6579,1878,897,897,1878
6458,1844,880,880,1844
6458,1844,880,880,1844
6673,1906,909,909,1906
7373,2105,1005,1005,2105
8541,2439,1165,1165,2439
9323,2663,1271,1271,2663
9519,2719,1298,1298,2719
9553,2728,1302,1302,2728
9598,2741,1308,1308,2741
9572,2734,1305,1305,2734
9477,2706,1292,1292,2706
9433,2694,1286,1286,2694
9322,2662,1271,1271,2662
9225,2635,1257,1257,2635
9248,2641,1261,1261,2641
9347,2670,1274,1274,2670
9442,2696,1288,1288,2696
9864,2817,1345,1345,2817
9863,2817,1345,1345,2817
9208,2629,1256,1256,2629
8287,2367,1130,1130,2367
7446,2126,1015,1015,2126
6898,1970,940,940,1970
6610,1888,901,901,1888
6479,1850,883,883,1850
6475,1849,883,883,1849
6676,1907,910,910,1907
7384,2109,1006,1006,2109
8535,2438,1163,1163,2438
9278,2649,1265,1265,2649
9466,2704,1291,1291,2704
9522,2720,1298,1298,2720
9555,2729,1302,1302,2729
9563,2731,1303,1303,2731
9526,2720,1298,1298,2720
9515,2717,1298,1298,2717
9401,2684,1282,1282,2684
9313,2659,1270,1270,2659
9341,2668,1273,1273,2668
9451,2699,1288,1288,2699
9480,2707,1292,1292,2707
9823,2805,1339,1339,2805
9873,2820,1346,1346,2820
9273,2648,1264,1264,2648
8381,2394,1142,1142,2394
7528,2149,1026,1026,2149
6991,1997,953,953,1997
6724,1920,917,917,1920
6596,1883,899,899,1883
6596,1884,899,899,1884
6801,1943,927,927,1943
7481,2136,1020,1020,2136
8587,2452,1171,1171,2452
9306,2658,1268,1268,2658
9447,2698,1288,1288,2698
9497,2712,1295,1295,2712
9541,2725,1301,1301,2725
9480,2707,1292,1292,2707
9372,2676,1277,1277,2676
9309,2659,1269,1269,2659
9166,2618,1250,1250,2618
9001,2571,1227,1227,2571
8930,2550,1217,1217,2550
8879,2536,1211,1211,2536
8805,2514,1201,1201,2514
9104,2600,1242,1242,2600
9280,2650,1265,1265,2650
8797,2513,1199,1199,2513
8077,2307,1101,1101,2307
7300,2085,995,995,2085
6755,1929,921,921,1929
6437,1838,878,878,1838
6256,1787,853,853,1787
6218,1776,848,848,1776
6288,1796,857,857,1796
6558,1873,894,894,1873
6904,1972,941,941,1972
7527,2149,1026,1026,2149
8079,2307,1101,1101,2307
8418,2404,1147,1147,2404
8551,2442,1166,1166,2442
8516,2432,1161,1161,2432
8391,2396,1144,1144,2396
8236,2352,1123,1123,2352
8100,2314,1105,1105,2314
8053,2300,1098,1098,2300
8086,2309,1102,1102,2309
8187,2338,1116,1116,2338
8236,2352,1123,1123,2352
8553,2443,1166,1166,2443
8701,2484,1186,1186,2484
8272,2363,1128,1128,2363
7634,2180,1040,1040,2180
6991,1997,953,953,1997
6480,1850,883,883,1850
6158,1758,839,839,1758
5969,1705,813,813,1705
5896,1683,803,803,1683
5909,1688,805,805,1688
6047,1727,824,824,1727
6242,1783,851,851,1783
6709,1916,914,914,1916
7350,2099,1002,1002,2099
7840,2239,1069,1069,2239
8098,2313,1104,1104,2313
8243,2354,1124,1124,2354
8274,2363,1128,1128,2363
8213,2345,1120,1120,2345
8162,2331,1113,1113,2331
8179,2336,1115,1115,2336
8311,2374,1133,1133,2374
8505,2429,1160,1160,2429
8581,2450,1170,1170,2450
8893,2539,1212,1212,2539
9031,2580,1232,1232,2580
8517,2432,1161,1161,2432
7798,2227,1063,1063,2227
7111,2031,969,969,2031
6608,1888,901,901,1888
6319,1804,861,861,1804
6171,1763,841,841,1763
6140,1753,837,837,1753
6304,1800,859,859,1800
6864,1960,936,936,1960
7669,2190,1045,1045,2190
8552,2442,1166,1166,2442
9208,2629,1255,1255,2629
9678,2764,1319,1319,2764
10054,2871,1371,1371,2871
10306,2943,1405,1405,2943
10463,2988,1427,1427,2988
10571,3019,1441,1441,3019
10601,3028,1445,1445,3028
10595,3025,1444,1444,3025
10578,3021,1442,1442,3021
10493,2996,1430,1430,2996
10297,2940,1403,1403,2940
10362,2960,1413,1413,2960
10475,2991,1428,1428,2991
9742,2782,1328,1328,2782
8736,2495,1191,1191,2495
7797,2227,1063,1063,2227
7146,2041,974,974,2041
6771,1933,923,923,1933
6542,1868,892,892,1868
6446,1841,878,878,1841
6587,1881,898,898,1881
7134,2038,973,973,2038
7988,2281,1089,1089,2281
8934,2552,1218,1218,2552
9489,2710,1293,1293,2710
9825,2806,1339,1339,2806
10073,2877,1373,1373,2877
10198,2913,1390,1390,2913
10251,2928,1398,1398,2928
10355,2957,1412,1412,2957
10366,2960,1414,1414,2960
10344,2955,1410,1410,2955
10320,2947,1407,1407,2947
10229,2921,1394,1394,2921
9971,2848,1359,1359,2848
10006,2858,1364,1364,2858
10099,2884,1377,1377,2884
9367,2675,1277,1277,2675
8375,2392,1141,1141,2392
7490,2139,1021,1021,2139
6852,1957,934,934,1957
6487,1853,884,884,1853
6289,1796,858,858,1796
6208,1773,846,846,1773
6345,1812,865,865,1812
6882,1966,938,938,1966
7683,2194,1047,1047,2194
8510,2430,1160,1160,2430
8923,2549,1216,1216,2549
9152,2614,1247,1247,2614
9329,2665,1272,1272,2665
9411,2688,1283,1283,2688
9385,2680,1279,1279,2680
9389,2681,1280,1280,2681
9300,2656,1268,1268,2656
9163,2617,1249,1249,2617
9136,2610,1246,1246,2610
9176,2620,1251,1251,2620
9180,2622,1252,1252,2622
9428,2693,1285,1285,2693
9490,2710,1294,1294,2710
8880,2536,1211,1211,2536
8025,2292,1094,1094,2292
7210,2059,983,983,2059
6671,1905,909,909,1905
6372,1819,868,868,1819
6204,1772,846,846,1772
6173,1763,842,842,1763
6352,1814,866,866,1814
6918,1976,943,943,1976
7804,2229,1064,1064,2229
8620,2462,1175,1175,2462
8997,2569,1226,1226,2569
9231,2636,1258,1258,2636
9413,2689,1283,1283,2689
9495,2711,1294,1294,2711
9478,2707,1292,1292,2707
9481,2708,1292,1292,2708
9413,2689,1283,1283,2689
9334,2666,1272,1272,2666
9320,2662,1271,1271,2662
9286,2652,1266,1266,2652
9175,2620,1251,1251,2620
9350,2670,1275,1275,2670
9569,2733,1304,1304,2733
8983,2565,1225,1225,2565
8108,2315,1106,1106,2315
7267,2075,990,990,2075
6718,1918,916,916,1918
6418,1833,875,875,1833
6266,1789,854,854,1789
6202,1771,845,845,1771
6357,1816,867,867,1816
6865,1961,936,936,1961
7671,2191,1045,1045,2191
8476,2420,1156,1156,2420
8954,2557,1221,1221,2557
9292,2654,1267,1267,2654
9542,2725,1301,1301,2725
9660,2759,1317,1317,2759
9654,2757,1316,1316,2757
9664,2760,1318,1318,2760
9581,2736,1306,1306,2736
9465,2703,1290,1290,2703
9382,2680,1279,1279,2680
9251,2642,1261,1261,2642
9025,2578,1231,1231,2578
9124,2606,1244,1244,2606
9270,2648,1264,1264,2648
8744,2497,1192,1192,2497
8003,2285,1091,1091,2285
7237,2067,986,986,2067
6672,1905,909,909,1905
6341,1811,864,864,1811
6150,1757,838,838,1757
6065,1732,827,827,1732
6112,1746,833,833,1746
6317,1804,861,861,1804
6622,1891,903,903,1891
7218,2061,984,984,2061
7883,2251,1075,1075,2251
8360,2388,1140,1140,2388
8615,2460,1175,1175,2460
8701,2484,1186,1186,2484
8697,2484,1186,1186,2484
8640,2467,1178,1178,2467
8583,2451,1170,1170,2451
8570,2448,1168,1168,2448
8630,2464,1176,1176,2464
8717,2490,1188,1188,2490
8680,2479,1183,1183,2479
8838,2525,1205,1205,2525
9013,2574,1229,1229,2574
8561,2445,1167,1167,2445
7906,2258,1078,1078,2258
7234,2066,986,986,2066
6682,1908,911,911,1908
6348,1813,865,865,1813
6133,1752,836,836,1752
6022,1720,821,821,1720
6017,1718,820,820,1718
6125,1749,835,835,1749
6275,1792,855,855,1792
6726,1921,917,917,1921
7349,2099,1002,1002,2099
7889,2253,1075,1075,2253
8223,2349,1120,1120,2349
8446,2412,1151,1151,2412
8560,2444,1167,1167,2444
8565,2446,1167,1167,2446
8530,2436,1163,1163,2436
8569,2447,1168,1168,2447
8750,2499,1193,1193,2499
8957,2558,1221,1221,2558
9117,2604,1243,1243,2604
9243,2639,1260,1260,2639
9100,2599,1241,1241,2599
8489,2424,1157,1157,2424
7756,2215,1057,1057,2215
