time_index,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE
55,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
56,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
57,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
58,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
59,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
60,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
61,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
62,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
63,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
64,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
65,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
66,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
67,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
68,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
69,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
70,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
71,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
72,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
73,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
74,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
75,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
76,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
77,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
78,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
79,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
80,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
81,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
82,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
83,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
84,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
85,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
86,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
87,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
88,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
89,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
90,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
91,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
92,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
93,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
94,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
95,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
96,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
97,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
98,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
99,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
100,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
101,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
102,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
103,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
104,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
105,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
106,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
107,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
108,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
109,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
110,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
111,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
112,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
113,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
114,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
115,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
116,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
117,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
118,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
119,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
120,0.312946118,0.047672544,0.348244289,0.326554982,0.512015645,0.534272897,0.631375133,0.904007124
121,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
122,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
123,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
124,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
125,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
126,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
127,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
128,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
129,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
130,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
131,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
132,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
133,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
134,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
135,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
136,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
137,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
138,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
139,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
140,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
141,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
142,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
143,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
144,0.315868548,0.048342285,0.332083377,0.309088213,0.562633695,0.651409763,0.623289307,0.897533123
145,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
146,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
147,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
148,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
149,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
150,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
