Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
134;19217.496;5886.207;16883.35;3112.677;0
135;17511.849;5228.332;16352.508;2953.253;0
136;14946.509;4352.116;14861.408;2734.384;0
137;11523.817;3226.227;12989.608;2364.788;0
138;7438.053;1935.891;11289.227;2084.223;0
139;4713.792;858.678;11386.273;1877.358;0
140;4158.368;410.013;11407.657;1854.734;0
141;4148.323;394.587;11138.478;1901.645;0
142;4142.5;388.448;9806.794;1927.53;0
143;4191.469;335.074;8928.57;1972.03;0
144;4170.235;332.3;8090.631;1938.949;0
145;3920.435;366.264;7363.045;1919.468;0
146;3920.986;363.314;7190.598;1885.148;0
147;3932.767;349.37;6525.031;1874.253;0
148;3934.578;302.415;6120.135;1803.653;0
149;3927.398;292.604;6539.314;1763.178;0
150;4137.851;394.733;7216.572;1776.847;0
151;6615.584;1121.53;8477.838;1862.029;0
152;10831.479;2237.914;11436.394;2173.764;0
153;14311.231;3398.295;13921.792;2393.397;0
154;17836.449;4411.347;15220.625;2679.442;0
155;19339.285;5232.767;15499.615;2951.44;0
156;19618.997;5628.844;15558.41;3006.944;0
157;18598.63;5787.611;15662.707;3094.431;0
158;18506.828;5631.105;15683.322;3068.968;0
159;16201.781;5085.095;15194.608;2927.831;0
160;13273.836;4288.874;14992.761;2696.967;0
161;9825.754;3225.185;13056.666;2335.413;0
162;6608.277;2059.101;12004.903;2061.159;0
163;4121.019;1006.97;12264.374;1843.228;0
164;3575.194;512.701;12478.583;1920.907;0
165;3564.594;491.269;11175.456;1996.161;0
166;3558.072;523.633;10229.977;2004.674;0
167;3569.275;677.349;9063.633;1992.677;0
168;3552.296;683.119;7873.066;2012.894;0
169;3134.327;604.827;6801.042;1941.188;0
170;3124.238;547.387;6299.086;1868.785;0
171;3123.884;516.792;6457.277;1827.231;0
172;3124.272;480.092;6462.31;1855.635;0
173;3122.523;469.523;6129.526;1872.187;0
174;3338.574;488.223;6150.946;1874.953;0
175;5103.52;1212.409;6920.55;1996.822;0
176;7760.823;2420.228;10015.668;2287.704;0
177;10600.549;3698.535;11631.339;2718.553;0
178;13066.88;4652.47;12781.386;3137.501;0
179;14706.927;5201.008;13321.614;3846.595;0
180;15993.521;5586.006;14082.019;3969.694;0
181;16162.749;5761.198;14048.694;3983.026;0
182;15445.385;5714.715;13614.717;3929.009;0
183;14574.89;5155.471;13215.36;3856.651;0
184;12832.817;4307.176;12372.316;3516.784;0
185;10646.156;3360.906;10575.858;3174.537;0
186;6923.302;2304.495;9145.585;3049.001;0
187;4214.544;1250.105;9100.423;2840.859;0
188;3757.049;762.698;9410.837;2815.109;0
189;3776.415;871.899;9066.031;2790.312;0
190;3811.096;960.42;8067.159;2877.945;0
191;3845.459;998.35;6886.423;2920.091;0
192;3863.718;994.276;6294.378;2939.811;0
193;3813.294;994.981;5861.262;2654.983;0
194;3619.267;911.218;5755.134;2522.453;0
195;3540.835;837.441;6055.766;2517.229;0
196;3540.474;699.344;6601.44;2529.787;0
197;3496.631;687.413;7445.948;2473.605;0
198;3651.143;735.907;8118.821;2461.4;0
199;5378.237;1363.069;8845.961;2540.322;0
200;8645.33;2511.346;11850.303;2927.645;0
201;11834.265;3772.142;13478.685;3470.49;0
202;14287.852;4848.802;14192.14;3751.934;0
203;16878.032;5671.055;14931.085;3899.163;0
204;17426.773;6109.447;16395.903;3994.964;0
205;17672.069;6202.16;16589.139;4040.009;0
206;16704.744;6113.498;15565.371;3928.805;0
207;14434.334;5585.381;14910.647;3876.579;0
208;12406.129;4739.1;13689.142;3621.245;0
209;10340.612;3716.26;11421.099;3319.842;0
210;7181.751;2729.264;9660.669;2991.221;0
211;4428.512;1710.339;8280.329;2863.212;0
212;3901.941;1197.872;7733.156;2833.868;0
213;3891.713;1230.835;7250.599;2892.871;0
214;3896.18;1332.332;6599.19;2920.309;0
215;3899.265;1332.113;6002.545;2949.194;0
216;3915.578;1347.898;5335.104;2911.318;0
217;3868.306;1247.935;5053.066;2902.312;0
218;3683.788;1144.911;4756.155;2629.971;0
219;3684.753;990.192;4376.73;2557.323;0
220;3687.975;901.809;3943.69;2509.883;0
221;3682.549;901.763;3791.964;2450.913;0
222;3888.397;929.755;4023.594;2380.799;0
223;5604.982;1566.39;5814.294;2416.697;0
224;9003.922;2680.505;8678.42;2699.735;0
225;12545.975;3987.008;11286.119;3038.005;0
226;15812.741;4985.265;13586.55;3402.057;0
227;18460.511;5681.417;15470.779;3907.928;0
228;20330.886;5980.213;15891.365;4016.625;0
229;20154.43;5920.904;16106.195;3907.833;0
230;19056.195;5668.021;16192.704;3614.279;0
231;17322.744;5282.488;15563.993;3490.537;0
232;13840.399;4645.012;14224.424;3324.707;0
233;11683.774;3619.37;12169.869;2969.176;0
234;8662.334;2546.299;9834.029;2652.9;0
235;4598.766;1581.531;8728.043;2535.748;0
236;3970.429;1111.183;7797.602;2616.163;0
237;3978.329;1161.118;6960.089;2663.682;0
238;3980.231;1218.172;6250.794;2630.279;0
239;3992.88;1195.943;5760.514;2639.922;0
240;3995.425;1106.532;5479.171;2664.92;0
241;3693.261;990.942;5671.292;2653.79;0
242;3638.895;877.251;5739.404;2341.75;0
243;3639.597;802.608;5345.039;2343.782;0
244;3639.161;745.023;5003.05;2316.493;0
245;3643.551;717.328;4510.696;2369.224;0
246;3893.28;700.863;4722.125;2345.182;0
247;6170.948;1235.088;6562.624;2435.242;0
248;10332.078;2240.613;9244.66;2619.806;0
249;13993.33;3356.256;12084.093;2998.967;0
250;18089.353;4187.063;14406.036;3418.942;0
251;20322.565;4705.413;16058.168;3613.549;0
252;21604.421;5093.028;16184.659;3845.649;0
253;21116.629;5425.679;15887.71;3928.538;0
254;19800.38;5359.829;15354.838;3924.059;0
255;18885.189;4705.618;14166.223;3828.681;0
256;16280.012;3892.454;12818.167;3589.816;0
257;12545.603;3047.945;10347.99;3267.653;0
258;8221.491;2020.895;7780.602;2951.364;0
259;4188.88;1095.702;6525.15;2840.633;0
260;3649.126;641.95;5880.809;2826.064;0
261;3649.925;621.419;5726.144;2753.152;0
262;3647.332;629.543;5818.725;2671.89;0
263;3649.211;620.194;5634.487;2707.974;0
264;3648.661;650.586;5486.021;2619.155;0
265;3652.209;660.697;5643.411;2407.56;0
266;3636.471;605.568;4782.812;2371.653;0
267;3634.725;514.653;4583.629;2369.152;0
268;3641.018;412.882;5524.63;2314.153;0
269;3642.124;409.439;5456.936;2341.732;0
270;3844.778;555.04;5753.558;2390.448;0
271;5927.88;1255.337;7119.748;2524.489;0
272;9451.81;2446.04;9209.576;2816.632;0
273;13653.332;3572.077;12002.689;3132.093;0
274;15300.258;4332.009;12038.167;3385.922;0
275;17294.083;4796.258;11866.461;3563.55;0
276;18365.423;5288.497;12190.703;3582.872;0
277;18204.571;5653.426;12460.454;3549.375;0
278;17798.875;5566.406;12412.808;3576.2;0
279;15975.335;5206.815;11665.593;3379.774;0
280;13821.583;4462.363;10337.822;3158.825;0
281;11273.588;3543.373;7892.103;2852.603;0
282;7442.932;2470.895;7143.764;2607.674;0
283;4148.985;1463.041;7141.301;2449.203;0
284;3641.241;922.071;7355.07;2428.814;0
285;3637.494;1043.223;6421.496;2431.736;0
286;3640.79;1191.519;5498.68;2412.148;0
287;3647.781;1310.946;5193.998;2452.826;0
288;3648.015;1366.68;5472.672;2481.658;0
289;3495.345;1283.328;5867.141;2497.559;0
290;3449.162;1247.453;6297.696;2546.437;0
291;3449.022;1199.217;6896.077;2462.456;0
292;3436.133;1160.971;6690.382;2405.394;0
293;3423.966;1135.413;6387.49;2402.144;0
294;3582.074;1196.86;6717.219;2448.799;0
295;5072.872;1877.86;7773.14;2611.659;0
296;8203.919;3041.816;9570.642;2762.896;0
297;11464.544;4294.88;12201.208;3050.845;0
298;13831.021;5338.739;12279.135;3403.473;0
299;15796.733;6090.131;12061.855;3762.623;0
300;17601.679;6444.356;12900.699;3851.362;0
301;17632.586;6605.022;12353.626;3979.067;0
302;16198.063;6574.116;12594.417;3911.936;0
303;13958.194;6102.35;12138.256;3838.707;0
304;12571.84;5353.623;10008.014;3584.206;0
305;8943.06;4383.972;7671.454;3357.145;0
306;6066.78;3272.289;6058.972;3191.577;0
307;4031.929;2214.945;4918.838;3102.093;0
308;3513.814;1790.017;4780.42;3070.993;0
309;3492.689;1853.039;4855.734;3087.266;0
310;3498.527;1861.085;4919.141;3082.779;0
311;3503.861;1842.183;4863.87;3084.81;0
312;3464.64;1880.897;4749.899;3121.544;0
313;3445.016;1771.701;4767.049;3078.131;0
314;3425.642;1645.195;4361.335;2970.491;0
315;3412.623;1513.179;4145.81;2908.264;0
316;3413.772;1425.853;4267.359;2516.435;0
317;3417.719;1302.221;3653.828;2405.388;0
318;3576.189;1286.812;3398.596;2393.064;0
319;5312.313;1936.426;4775.296;2468.433;0
320;8703.72;3184.515;6828.203;2939.779;0
321;12229.483;4464.693;9675.542;3206.474;0
322;15686.016;5575.95;11857.874;3528.492;0
323;17486.999;6434.282;12975.584;3687.895;0
324;18646.382;6989.55;13391.805;3804.278;0
325;17966.874;7101.486;14025.443;3883.633;0
326;17397.251;6816.536;13110.577;3804.393;0
327;14986.825;6334.569;12966.368;3688.929;0
328;12828.429;5489.478;11584.748;3426.358;0
329;10096.965;4446.657;9363.919;3142.889;0
330;6552.083;3388.846;7188.88;2895.384;0
331;4169.428;2473.008;6935.524;2701.312;0
332;3675.647;2012.534;6245.032;2664.303;0
333;3688.362;1951.512;6091.35;2724.872;0
334;3713.142;1934.598;6167.42;2767.726;0
335;3717.763;2058.093;6681.229;2833.921;0
336;3477.73;2123.043;6078.942;2821.154;0
