Time_Index,Demand_Zero ,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal ,Demand_SAF_Jetfuel
1,0,10000,758000,124000,24140934,2345027,5065258,31039.83,7055612,11625,3103.98
2,0,10000,758000,124000,24140934,2345027,5065258,31039.83,7055612,11625,3103.98
