Time_Index,Demand_Ethanol,Demand_Gasoline,Demand_Flexfuel,Demand_Jetfuel,Demand_SAF_Jetfuel,Demand_fossil_Jetfuel,Demand_Diesel,Demand_BioDiesel,Unnamed: 9,Unnamed: 10
1,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
2,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
3,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
4,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
5,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
6,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
7,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
8,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
9,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
10,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
11,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
12,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
13,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
14,14694.86236,3719.56018,25617.07233,2427.43444,154.94262,2582.37706,63192.56766307014,14430.504676162647,0.0,0.0
