Time_Index,h2_BR_AC,h2_BR_AL,h2_BR_AM,h2_BR_AP,h2_BR_BA,h2_BR_CE,h2_BR_DF,h2_BR_ES,h2_BR_GO,h2_BR_MA,h2_BR_MG,h2_BR_MS,h2_BR_MT,h2_BR_PA,h2_BR_PB,h2_BR_PE,h2_BR_PI,h2_BR_PR,h2_BR_RJ,h2_BR_RN,h2_BR_RO,h2_BR_RR,h2_BR_RS,h2_BR_SC,h2_BR_SE,h2_BR_SP,h2_BR_TO
1,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
2,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
3,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
4,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
5,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
6,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
7,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
8,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
9,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
10,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
11,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
12,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
13,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
14,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
15,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
16,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
17,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
18,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
19,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
20,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
21,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
22,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
23,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
24,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
25,0.08745,2.380136006501418,6.480698820167502,0.08338,41.85669719871477,5.381152095812778,0.5696596698224912,6.930095347141026,16.874372457993278,4.7834405701417975,56.430931388833244,6.7151481099728265,16.518405495399957,6.745410870432795,2.0497861861548863,18.59337586550757,1.3370028790796047,48.915450270042584,40.336869856747555,0.40214,0.9433618630978511,0.09653,49.903729632749645,21.426252977845426,2.8522134061462827,329.14717390055154,1.8964560442498608
