Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
92,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
93,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
94,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
95,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
96,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
97,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
98,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
99,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
100,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
101,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
102,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
103,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
104,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
105,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
106,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
107,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
108,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
109,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
110,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
111,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
112,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
113,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
114,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
115,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
116,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
117,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
118,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
119,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
120,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
121,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
122,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
123,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
124,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
125,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
126,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
127,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
128,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
129,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
130,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
131,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
132,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
133,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
134,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
135,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
136,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
137,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
138,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
139,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
140,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
141,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
142,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
143,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
144,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
145,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
146,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
147,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
148,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
149,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
150,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
151,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
152,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
153,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
154,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
155,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
156,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
157,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
158,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
159,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
160,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
161,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
162,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
163,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
164,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
165,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
166,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
167,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
168,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
169,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
170,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
171,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
172,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
173,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
174,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
175,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
176,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
177,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
178,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
179,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
180,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
181,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
182,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
183,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
184,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
185,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
186,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
187,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
188,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
189,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
190,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
191,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
192,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
193,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
194,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
195,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
196,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
197,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
198,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
199,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
200,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
201,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
202,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
203,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
204,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
205,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
206,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
207,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
208,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
209,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
210,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
211,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
212,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
213,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
214,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
215,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
216,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
217,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
218,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
219,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
220,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
221,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
222,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
223,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
224,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
225,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
226,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
227,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
228,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
229,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
230,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
231,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
232,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
233,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
234,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
235,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
236,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
237,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
238,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
239,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
240,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
241,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
242,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
243,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
244,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
245,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
246,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
247,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
248,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
249,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
250,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
251,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
252,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
253,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
254,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
255,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
256,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
257,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
258,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
259,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
260,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
261,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
262,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
263,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
264,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
265,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
266,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
267,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
268,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
269,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
270,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
271,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
272,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
273,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
274,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
275,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
276,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
277,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
278,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
279,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
280,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
281,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
282,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
283,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
284,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
285,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
286,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
287,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
288,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
289,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
290,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
291,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
292,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
293,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
294,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
295,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
296,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
297,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
298,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
