Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AM,elec_BR_AP,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MG,elec_BR_MS,elec_BR_MT,elec_BR_PA,elec_BR_PB,elec_BR_PE,elec_BR_PI,elec_BR_PR,elec_BR_RJ,elec_BR_RN,elec_BR_RO,elec_BR_RR,elec_BR_RS,elec_BR_SC,elec_BR_SE,elec_BR_SP,elec_BR_TO,Unnamed: 28
1,318.6585713906392,1197.7228971166667,2187.691588871005,359.2741138259133,5583.714707303653,4454.967890730593,2018.6477413812786,3250.351779905251,3775.6690000456624,2334.7179097990866,13064.460772438355,2900.065504056735,3315.0409907111866,3928.3153610867585,1617.9697199874427,4058.3115321803652,1415.4634617755707,8353.520851458563,12088.471762020548,2770.648096119292,995.0319652326484,344.8966283673516,7426.925607509019,6543.460506286759,951.3420100949772,38101.128393447485,672.1236307325343,0.0
2,306.45316139063925,1125.6969171166666,2077.2746688710045,333.8165638259133,5217.056697303652,4239.348130730593,1845.8695513812786,3091.4173099052514,3434.522020045662,2228.642739799087,12176.024522438356,2645.826674056735,3193.503970711187,3756.006231086758,1517.9236899874431,3926.7448521803653,1340.025361775571,7754.702121458561,11347.682752020548,2618.1828261192923,906.7525152326484,327.1280783673516,6879.377757509019,6071.3716562867585,894.5615800949771,35030.38229344749,607.1027207325343,0.0
3,286.86233139063927,1056.6471971166668,1930.8575688710046,311.3402138259133,4868.650227303653,4026.5798307305936,1749.7703913812788,2894.0911699052513,3128.2786300456623,2140.7097797990864,11453.724372438357,2495.2766940567353,3066.909310711187,3602.393911086758,1436.2346399874427,3631.0600821803655,1258.3824117755707,7209.489831458562,10800.093612020548,2466.572916119292,859.9157052326484,306.3072983673516,6360.968677509019,5670.992706286758,839.6631900949772,32199.60871344749,557.9197507325342,0.0
4,267.35810139063926,1041.7539271166668,1817.4811788710047,292.93391382591324,4641.969287303652,3832.2208807305933,1661.3986413812786,2752.9951099052514,2966.277280045662,2054.4285397990866,10814.928092438357,2312.579964056735,2933.372920711187,3423.6475810867582,1350.354259987443,3376.155632180365,1185.7321517755709,6781.966481458561,10201.34780202055,2345.171496119292,815.7231252326484,290.84185836735156,5966.666607509019,5222.595006286758,803.5733600949771,30321.28637344749,515.8059707325342,0.0
5,260.66759139063925,1016.3098171166666,1807.0477688710046,286.8471038259133,4589.830957303652,3771.4772507305934,1619.5231513812785,2748.2140899052515,2924.0639200456617,2040.569269799087,11146.663622438356,2263.6693840567355,2876.979520711187,3421.586321086758,1308.4073299874428,3292.6400121803654,1135.552891775571,6735.119521458561,9998.569382020547,2293.7052561192922,786.3572752326484,277.7479083673516,5920.226287509018,5243.606266286758,796.5594900949771,29977.857903447486,497.4146007325342,0.0
6,249.43043139063926,986.6000771166666,1766.3686488710046,280.58145382591323,4598.182267303653,3749.199170730594,1571.9824213812788,2730.153299905251,2843.874910045662,1998.9858097990868,11184.823672438355,2274.5588140567347,2841.510480711187,3362.854261086758,1271.158389987443,3166.3800721803655,1073.5002417755709,6681.905511458562,10206.430922020549,2240.7930061192924,782.5420352326485,263.98459836735157,5938.630957509019,5253.206666286758,794.7551900949773,29955.20053344749,483.0748107325343,0.0
7,248.94626139063925,953.9690171166666,1745.2929988710046,257.4177438259133,4734.574647303653,3713.891530730594,1819.4559513812787,2789.8090199052513,2991.3991900456617,1956.220779799087,11425.190812438357,2405.959754056735,2808.221510711187,3338.7301810867584,1276.382099987443,3239.739242180365,1038.169261775571,6910.680711458562,10133.954562020548,2203.477226119292,772.4497152326483,249.1412383673516,6030.026747509019,5334.742926286758,805.9520600949772,31307.597983447486,488.4633407325342,0.0
8,246.30080139063932,936.8335471166666,1764.2101188710046,251.38914382591324,4857.997367303652,3777.8405607305936,1826.3868013812787,2832.817779905251,3139.963300045662,1931.4832497990867,12123.888642438356,2468.1814040567356,2849.103370711187,3315.403891086758,1281.525119987443,3241.9324121803656,1031.2852617755707,7355.044171458561,10485.356102020547,2202.757266119292,776.6173652326484,244.6568983673516,6358.663507509019,5677.964106286759,834.1271600949773,32569.945873447487,499.7806607325342,0.0
9,282.73336139063923,1081.2597971166667,2103.5117888710047,291.22515382591325,5690.759347303653,4314.329390730593,2000.5137413812786,3305.6576099052513,3743.6111600456616,2116.5917397990866,14334.688112438356,2997.543044056735,3152.4225807111875,3731.664341086758,1453.795509987443,3685.083302180365,1149.153391775571,8900.776781458562,12160.978372020549,2434.8715561192926,882.3296752326484,274.5435783673516,7631.473197509018,7009.472446286757,958.8800300949772,40224.49182344749,578.8735607325342,0.0
10,269.17053139063927,1084.6026371166668,2082.1607688710046,274.05391382591324,5746.286527303653,4313.344090730593,2022.9353413812785,3409.217409905251,3941.073490045662,2181.7159897990864,15030.901432438357,3100.652334056735,3112.5471507111874,3822.683591086758,1442.1414699874429,3563.537242180365,1112.706981775571,9664.916751458562,12039.393012020548,2388.359486119292,847.0032552326484,251.97258836735162,8035.857487509019,7394.491676286758,983.3367900949772,41538.65941344749,587.0496107325342,0.0
11,275.14590139063927,1127.8821071166667,2206.5210588710047,292.0822738259132,5869.672937303652,4450.954800730594,2242.8719913812783,3560.933559905251,4131.939610045662,2135.5366497990867,15794.067752438357,3292.1386840567347,3218.714680711187,3921.185621086758,1477.9820399874432,3655.2740421803655,1148.1702917755708,10141.189011458562,12445.790142020549,2449.2837061192918,874.3115052326484,252.2456283673516,8529.34885750902,8385.425956286757,1005.7773000949772,44707.283653447485,602.1285607325342,0.0
12,296.34985139063923,1178.9349071166666,2281.1392388710046,317.88745382591327,6271.240047303653,4737.227080730593,2347.6840313812786,3684.539169905251,4373.445670045662,2253.7801297990864,16475.195722438355,3392.5285840567353,3348.428110711187,4066.195461086758,1557.6315699874428,3841.8028521803653,1199.4063717755707,10840.546151458562,13232.360382020548,2586.408816119292,962.7794952326483,269.7791883673516,9024.752207509018,8651.548816286759,1054.3372300949773,46800.332703447486,620.7872007325342,0.0
13,279.7239313906393,1156.5086571166667,2151.9706588710046,303.5734038259132,6241.812827303653,4582.688370730592,2280.2831013812784,3531.886079905251,4242.897860045662,2216.2985997990863,15669.989742438356,3280.221354056735,3311.9300607111873,3988.7448010867583,1515.345219987443,3635.6113021803653,1163.8127917755708,10364.124101458561,12605.700222020549,2541.7608261192922,933.9705252326484,257.9608883673516,8724.940527509018,8075.160126286758,1023.2516800949772,45528.44340344748,604.1369807325342,0.0
14,286.55747139063925,1147.8830071166667,2178.1400288710047,313.29010382591326,6115.578247303653,4612.471070730593,2250.2423513812787,3459.250259905251,4221.724560045663,2271.7063597990864,15147.394452438357,3256.0011140567353,3364.854340711187,3960.3255410867578,1541.8935199874431,3711.3512721803654,1239.9639617755709,10074.571391458563,12493.374102020549,2541.924516119292,912.1524652326484,279.4762383673516,8430.933737509018,7778.645976286759,1018.8957600949772,44134.265383447484,609.7338807325343,0.0
15,292.3483013906393,1167.1700171166667,2192.626738871005,319.9117838259133,6205.516547303653,4672.796880730593,2239.0349313812785,3492.643309905251,4345.879570045662,2326.306339799087,15562.427322438358,3278.393554056735,3454.723250711187,4205.266881086758,1573.176899987443,3825.0940221803653,1287.0879817755708,10186.010451458562,12407.38597202055,2619.164566119292,930.7582452326484,293.55247836735157,8479.869927509018,7695.936256286758,1040.1717500949771,44426.000843447495,611.6092807325342,0.0
16,285.46633139063925,1181.8611271166667,2211.8085388710047,318.74393382591325,6307.610307303653,4614.695370730593,2256.476211381279,3495.771259905251,4293.8705900456625,2343.0388897990865,15669.054412438356,3252.832334056735,3491.294540711187,4245.684351086758,1536.655659987443,3901.020172180365,1269.0415117755708,10209.101631458561,12370.564982020547,2661.0282261192924,955.8686252326484,294.6848583673516,8440.361497509019,7600.930646286758,1020.1975400949772,44132.68628344749,619.9810207325343,0.0
17,299.3475813906393,1216.4711671166667,2303.1057688710043,328.1565438259133,6321.775547303652,4690.897280730594,2368.206031381279,3604.9499399052515,4511.631460045663,2387.6547497990864,16416.441992438355,3396.327454056735,3490.224220711187,4280.024061086759,1594.188779987443,3868.2416121803653,1279.2441617755708,10367.060891458563,12730.079522020547,2660.097726119292,977.8378152326484,297.82601836735154,8539.770997509018,7998.992906286758,1029.4240300949773,45567.76884344749,647.0358107325343,0.0
18,288.95230139063926,1174.3440771166668,2328.433478871005,301.8304738259132,6687.753317303654,4643.158510730594,2383.551621381279,3750.8643299052515,4556.412420045663,2295.834169799087,16709.411752438355,3763.2880340567353,3387.8474507111873,4179.514681086758,1576.445639987443,3832.176052180366,1236.221501775571,10641.686261458563,12774.58938202055,2627.5530961192917,933.8866252326485,285.45893836735155,8589.243107509017,8223.656106286759,1050.9041600949772,47370.92761344749,637.3409507325342,0.0
19,319.57382139063924,1270.2675171166668,2511.3331288710046,332.87148382591323,7162.7545473036525,4955.195260730593,2574.9940313812785,3963.0450499052513,4793.111220045662,2388.6869697990865,17552.687492438356,3943.991224056735,3505.826540711187,4137.794071086758,1720.7096499874428,4126.383882180365,1359.3112117755707,11392.95627145856,13554.212402020548,2824.782106119292,1008.7724452326484,314.5044283673516,9243.036527509017,8951.589156286756,1102.501670094977,50099.78886344749,693.6593007325342,0.0
20,335.09000139063926,1210.5489671166667,2289.8753388710043,340.83169382591325,6380.504427303653,4879.902610730594,2693.205301381279,3698.9511199052513,4600.734680045663,2271.9324597990867,15695.634852438356,3722.401354056735,3465.3995807111874,3805.682421086758,1693.5596299874428,4116.139422180365,1367.6165317755708,10878.545521458564,13217.149672020547,2771.727666119292,1003.3342952326483,332.54921836735156,8766.921867509016,8313.664496286756,1060.8104200949772,47908.26664344749,715.5630707325342,0.0
21,369.3878913906393,1263.4342971166668,2431.3688588710047,384.43654382591325,6463.581857303652,5175.568310730593,2712.1845313812787,3763.036299905251,4729.735070045662,2415.7241197990866,15636.545482438356,3770.8146040567353,3646.674300711187,3963.417921086758,1796.658469987443,4308.126362180365,1494.6093417755708,10892.419921458562,13799.669702020548,2847.141556119292,1115.0872752326484,384.4492183673516,9279.289697509019,8411.563406286758,1103.0051000949773,48522.82867344749,772.8508307325342,0.0
22,387.9493913906392,1315.7976071166668,2457.902348871005,411.7349838259132,6376.000087303652,5274.801570730594,2810.9616213812787,3644.630939905251,4687.825540045663,2440.984209799087,15245.707222438356,3602.005944056735,3780.6790707111873,3983.2553310867584,1852.3234499874432,4570.854952180365,1586.352411775571,10475.563261458561,13852.620972020548,2944.0337361192924,1172.9044652326484,416.8016883673516,9194.681737509018,8351.344056286758,1113.8223000949772,47658.59103344749,791.3589007325342,0.0
23,395.49578139063925,1351.780777116667,2510.8683388710047,424.54306382591324,6561.956937303653,5239.331660730593,2588.8806613812785,3705.886339905251,4696.928550045662,2699.8338597990864,16051.235612438357,3508.164644056735,3817.5663707111876,4300.329901086758,1889.736569987443,4654.902412180365,1625.9379217755709,10485.645471458562,13990.891622020548,3045.2509961192923,1194.4811552326485,423.6963183673516,9112.527837509018,8196.006536286757,1122.1627300949772,47050.20994344749,821.0887307325343,0.0
24,380.77554139063926,1294.678847116667,2404.1953188710045,407.75042382591323,6294.584377303653,5002.481950730594,2415.3556713812786,3515.9965799052516,4306.712100045663,2641.7609097990867,14734.546782438356,3223.6236640567354,3677.571020711187,4289.810131086758,1796.2323499874428,4547.665062180365,1563.5433917755709,9508.632111458563,13620.448462020548,2979.1219661192918,1131.5225052326484,403.79660836735155,8465.840317509017,7492.252436286758,1047.4666800949772,43131.074193447486,786.3605907325342,0.0
25,226.96556139063927,833.8164371166666,1629.5428988710046,242.49584382591325,4264.758517303652,3664.0123307305935,1778.3404713812786,2578.8463899052513,2981.030880045662,1962.3119397990868,11812.860982438355,2186.428504056735,2600.312600711187,2888.8302010867583,1225.562359987443,2937.6932421803654,1083.5720717755707,7128.705571458561,9121.836322020548,1691.4488761192922,715.7941252326484,243.2370183673516,6343.210027509018,5505.910026286759,722.8828900949773,31734.25099344749,500.2639107325342,0.0
26,211.71481139063926,785.6920571166667,1544.3045288710045,222.65014382591323,4032.2295673036533,3477.5758307305937,1712.5173613812788,2472.489519905251,2752.231400045662,1836.861229799087,11331.053432438355,2055.301924056735,2480.2234507111875,2749.5844310867583,1149.606789987443,2750.228512180365,1022.8064717755708,6809.457141458562,8819.79098202055,1597.1169761192923,662.2689852326484,222.64804836735158,6007.347177509018,5260.221686286758,679.2832800949772,30277.56816344749,458.79933073253426,0.0
27,195.42017139063924,743.2569071166666,1449.7630488710045,202.69602382591324,3807.370507303653,3299.5699307305936,1635.6294913812787,2357.911389905251,2562.1708200456624,1760.271649799087,10799.207832438355,1942.4056440567351,2373.339210711187,2644.0870610867587,1078.698809987443,2585.6853521803655,967.0960117755709,6476.488701458561,8345.171582020548,1501.6231161192923,612.5598452326484,205.3443683673516,5679.105097509018,4980.190766286759,646.0091200949772,28675.571303447487,423.9405807325343,0.0
28,183.92936139063926,707.7481471166667,1365.3516588710047,189.32767382591325,3628.736817303653,3149.602050730594,1563.3201213812786,2253.2545799052514,2424.592380045662,1685.907689799087,10306.738622438357,1855.1436440567354,2286.2631007111872,2512.948471086758,1027.518719987443,2437.5830921803654,919.9711417755708,6170.715041458561,7943.595082020549,1439.1602461192922,576.1604052326484,193.69937836735158,5428.546867509019,4746.791906286758,617.8379800949772,27325.34888344749,396.24109073253425,0.0
