Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR,aviationgasoline_price_BR,heavyfueloil_price_BR
82,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
83,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
84,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
85,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
86,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
87,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
88,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
89,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
90,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
91,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
92,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
93,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
94,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
95,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
96,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
97,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
98,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
99,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
100,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
101,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
102,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
103,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
104,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
105,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
106,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
107,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
108,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
109,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
110,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
111,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
112,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
113,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
114,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
115,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
116,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
117,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
118,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
119,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
120,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
121,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
122,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
123,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
124,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
125,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
126,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
127,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
128,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
129,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
130,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
131,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
132,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
133,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
134,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
135,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
136,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
137,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
138,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
139,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
140,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
141,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
142,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
143,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
144,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
145,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
146,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
147,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
148,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
149,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
150,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
151,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
152,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
153,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
154,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
155,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
156,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
157,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
158,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
159,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
160,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
161,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
162,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
163,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
164,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
165,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
