Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
104,26.1,12.58,17.41,4.535,22.67,33.81,55.67
105,26.1,12.58,17.41,4.535,22.67,33.81,55.67
106,26.1,12.58,17.41,4.535,22.67,33.81,55.67
107,26.1,12.58,17.41,4.535,22.67,33.81,55.67
108,26.1,12.58,17.41,4.535,22.67,33.81,55.67
109,26.1,12.58,17.41,4.535,22.67,33.81,55.67
110,26.1,12.58,17.41,4.535,22.67,33.81,55.67
111,26.1,12.58,17.41,4.535,22.67,33.81,55.67
112,26.1,12.58,17.41,4.535,22.67,33.81,55.67
113,26.1,12.58,17.41,4.535,22.67,33.81,55.67
114,26.1,12.58,17.41,4.535,22.67,33.81,55.67
115,26.1,12.58,17.41,4.535,22.67,33.81,55.67
116,26.1,12.58,17.41,4.535,22.67,33.81,55.67
117,26.1,12.58,17.41,4.535,22.67,33.81,55.67
118,26.1,12.58,17.41,4.535,22.67,33.81,55.67
119,26.1,12.58,17.41,4.535,22.67,33.81,55.67
120,26.1,12.58,17.41,4.535,22.67,33.81,55.67
121,26.1,12.58,17.41,4.535,22.67,33.81,55.67
122,26.1,12.58,17.41,4.535,22.67,33.81,55.67
123,26.1,12.58,17.41,4.535,22.67,33.81,55.67
124,26.1,12.58,17.41,4.535,22.67,33.81,55.67
125,26.1,12.58,17.41,4.535,22.67,33.81,55.67
126,26.1,12.58,17.41,4.535,22.67,33.81,55.67
127,26.1,12.58,17.41,4.535,22.67,33.81,55.67
128,26.1,12.58,17.41,4.535,22.67,33.81,55.67
129,26.1,12.58,17.41,4.535,22.67,33.81,55.67
130,26.1,12.58,17.41,4.535,22.67,33.81,55.67
131,26.1,12.58,17.41,4.535,22.67,33.81,55.67
132,26.1,12.58,17.41,4.535,22.67,33.81,55.67
133,26.1,12.58,17.41,4.535,22.67,33.81,55.67
134,26.1,12.58,17.41,4.535,22.67,33.81,55.67
135,26.1,12.58,17.41,4.535,22.67,33.81,55.67
136,26.1,12.58,17.41,4.535,22.67,33.81,55.67
137,26.1,12.58,17.41,4.535,22.67,33.81,55.67
138,26.1,12.58,17.41,4.535,22.67,33.81,55.67
139,26.1,12.58,17.41,4.535,22.67,33.81,55.67
140,26.1,12.58,17.41,4.535,22.67,33.81,55.67
