Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_N_BECCS_H2,Biomass,TRUE,2.57,0.1,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_N,153.16,37839272.75,1513556.741,163.9198507,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_N,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_N
BECCSHydrogen,BR_NE_BECCS_H2,Biomass,TRUE,2.57,0.1,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_NE,153.16,37839272.75,1513556.741,163.9198507,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_NE,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_NE
BECCSHydrogen,BR_MW_BECCS_H2,Biomass,TRUE,2.57,0.1,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_MW,153.16,37839272.75,1513556.741,163.9198507,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_MW,Electricity,TRUE,FALSE,elec_MW,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_MW
BECCSHydrogen,BR_SE_BECCS_H2,Biomass,TRUE,2.57,0.1,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_SE,153.16,37839272.75,1513556.741,163.9198507,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_SE
BECCSHydrogen,BR_S_BECCS_H2,Biomass,TRUE,2.57,0.1,0,1.558,1.558,Residue,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,residue_S,153.16,37839272.75,1513556.741,163.9198507,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_S,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_S
