Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_AC_Solar_Class1,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,59400,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_AC_Solar_Class1,elec_BR_AC,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AC_Solar_Class2,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,825,11966.6164,0,659003.832,system/availability_solar_2030.csv,BR_AC_Solar_Class2,elec_BR_AC,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AL_Solar_Class1,BR_AL,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,399796.499,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_AL_Solar_Class1,elec_BR_AL,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class1,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,3741.019,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_AM_Solar_Class1,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class2,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,16513.895,11966.6164,0,659003.832,system/availability_solar_2030.csv,BR_AM_Solar_Class2,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AM_Solar_Class3,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,23954.417,11966.6164,0,766283.528,system/availability_solar_2030.csv,BR_AM_Solar_Class3,elec_BR_AM,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_AP_Solar_Class1,BR_AP,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,10485,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_AP_Solar_Class1,elec_BR_AP,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class0,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,6520841.031,11966.6164,0,665456.744,system/availability_solar_2030.csv,BR_BA_Solar_Class0,elec_BR_BA,2527.179,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class1,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1360359.104,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_BA_Solar_Class1,elec_BR_BA,3.3,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_BA_Solar_Class3,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2031308.205,11966.6164,0,766283.528,system/availability_solar_2030.csv,BR_BA_Solar_Class3,elec_BR_BA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CE_Solar_Class0,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1078483.808,11966.6164,0,665456.744,system/availability_solar_2030.csv,BR_CE_Solar_Class0,elec_BR_CE,1135.884,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CE_Solar_Class1,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2236677.687,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_CE_Solar_Class1,elec_BR_CE,1187.137,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CE_Solar_Class3,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,46200,11966.6164,0,766283.528,system/availability_solar_2030.csv,BR_CE_Solar_Class3,elec_BR_CE,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_ES_Solar_Class1,BR_ES,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,33808.413,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_ES_Solar_Class1,elec_BR_ES,4.4,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Solar_Class0,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2353730.215,11966.6164,0,665456.744,system/availability_solar_2030.csv,BR_GO_Solar_Class0,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Solar_Class1,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4195797.713,11966.6164,0,582375.48,system/availability_solar_2030.csv,BR_GO_Solar_Class1,elec_BR_GO,301.71,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Solar_Class2,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,182993.029,11966.6164,0,659003.832,system/availability_solar_2030.csv,BR_GO_Solar_Class2,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MA_Solar_Class0,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,941980.936,11966.6164,0,665456.744,system/availability_solar_2030.csv,BR_MA_Solar_Class0,elec_BR_MA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
