Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_PR_rooftop_pv,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,12117.1728,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PR_rooftop_pv,elec_BR_PR,0,100,https://doi.org/10.2172/1236153
VRE,BR_SC_rooftop_pv,BR_SC,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,7912.1412,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SC_rooftop_pv,elec_BR_SC,0,100,https://doi.org/10.2172/1236153
VRE,BR_RS_rooftop_pv,BR_RS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,11680.2864,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RS_rooftop_pv,elec_BR_RS,0,100,https://doi.org/10.2172/1236153
VRE,BR_MS_rooftop_pv,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4161.9912,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MS_rooftop_pv,elec_BR_MS,0,100,https://doi.org/10.2172/1236153
VRE,BR_MT_rooftop_pv,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,5253.594,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MT_rooftop_pv,elec_BR_MT,0,100,https://doi.org/10.2172/1236153
VRE,BR_GO_rooftop_pv,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,10073.8176,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_GO_rooftop_pv,elec_BR_GO,0,100,https://doi.org/10.2172/1236153
VRE,BR_DF_rooftop_pv,BR_DF,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2731.0512,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_DF_rooftop_pv,elec_BR_DF,0,100,https://doi.org/10.2172/1236153
VRE,BR_RO_rooftop_pv_mandatoryB,BR_RO,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,1700.328,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RO_rooftop_pv,elec_BR_RO,0,100,https://doi.org/10.2172/1236153
VRE,BR_AC_rooftop_pv_mandatoryB,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,776.874,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AC_rooftop_pv,elec_BR_AC,0,100,https://doi.org/10.2172/1236153
VRE,BR_AM_rooftop_pv_mandatoryB,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,3107.496,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AM_rooftop_pv,elec_BR_AM,0,100,https://doi.org/10.2172/1236153
VRE,BR_RR_rooftop_pv_mandatoryB,BR_RR,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,515.9616,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RR_rooftop_pv,elec_BR_RR,0,100,https://doi.org/10.2172/1236153
VRE,BR_PA_rooftop_pv_mandatoryB,BR_PA,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,7592.844,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PA_rooftop_pv,elec_BR_PA,0,100,https://doi.org/10.2172/1236153
VRE,BR_AP_rooftop_pv_mandatoryB,BR_AP,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,627.3624,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AP_rooftop_pv,elec_BR_AP,0,100,https://doi.org/10.2172/1236153
VRE,BR_TO_rooftop_pv_mandatoryB,BR_TO,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,1609.4484,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_TO_rooftop_pv,elec_BR_TO,0,100,https://doi.org/10.2172/1236153
VRE,BR_MA_rooftop_pv_mandatoryB,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,8656.6032,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MA_rooftop_pv,elec_BR_MA,0,100,https://doi.org/10.2172/1236153
VRE,BR_PI_rooftop_pv_mandatoryB,BR_PI,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4415.3424,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PI_rooftop_pv,elec_BR_PI,0,100,https://doi.org/10.2172/1236153
VRE,BR_CE_rooftop_pv_mandatoryB,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,11481.4728,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_CE_rooftop_pv,elec_BR_CE,0,100,https://doi.org/10.2172/1236153
VRE,BR_RN_rooftop_pv_mandatoryB,BR_RN,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4245.2172,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RN_rooftop_pv,elec_BR_RN,0,100,https://doi.org/10.2172/1236153
VRE,BR_PB_rooftop_pv_mandatoryB,BR_PB,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4925.718,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PB_rooftop_pv,elec_BR_PB,0,100,https://doi.org/10.2172/1236153
VRE,BR_PE_rooftop_pv_mandatoryB,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,12090.7584,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PE_rooftop_pv,elec_BR_PE,0,100,https://doi.org/10.2172/1236153
VRE,BR_AL_rooftop_pv_mandatoryB,BR_AL,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4142.3508,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AL_rooftop_pv,elec_BR_AL,0,100,https://doi.org/10.2172/1236153
VRE,BR_SE_rooftop_pv_mandatoryB,BR_SE,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,2947.518,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SE_rooftop_pv,elec_BR_SE,0,100,https://doi.org/10.2172/1236153
VRE,BR_BA_rooftop_pv_mandatoryB,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,20074.7736,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_BA_rooftop_pv,elec_BR_BA,0,100,https://doi.org/10.2172/1236153
VRE,BR_MG_rooftop_pv_mandatoryB,BR_MG,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,24589.7568,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MG_rooftop_pv,elec_BR_MG,0,100,https://doi.org/10.2172/1236153
VRE,BR_ES_rooftop_pv_mandatoryB,BR_ES,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4619.6304,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_ES_rooftop_pv,elec_BR_ES,0,100,https://doi.org/10.2172/1236153
VRE,BR_RJ_rooftop_pv_mandatoryB,BR_RJ,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,17841.3312,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RJ_rooftop_pv,elec_BR_RJ,0,100,https://doi.org/10.2172/1236153
VRE,BR_SP_rooftop_pv_mandatoryB,BR_SP,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,48466.2948,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SP_rooftop_pv,elec_BR_SP,0,100,https://doi.org/10.2172/1236153
VRE,BR_PR_rooftop_pv_mandatoryB,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,12117.1728,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PR_rooftop_pv,elec_BR_PR,0,100,https://doi.org/10.2172/1236153
VRE,BR_SC_rooftop_pv_mandatoryB,BR_SC,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,7912.1412,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SC_rooftop_pv,elec_BR_SC,0,100,https://doi.org/10.2172/1236153
VRE,BR_RS_rooftop_pv_mandatoryB,BR_RS,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,11680.2864,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RS_rooftop_pv,elec_BR_RS,0,100,https://doi.org/10.2172/1236153
VRE,BR_MS_rooftop_pv_mandatoryB,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,4161.9912,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MS_rooftop_pv,elec_BR_MS,0,100,https://doi.org/10.2172/1236153
VRE,BR_MT_rooftop_pv_mandatoryB,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,5253.594,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MT_rooftop_pv,elec_BR_MT,0,100,https://doi.org/10.2172/1236153
VRE,BR_GO_rooftop_pv_mandatoryB,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,10073.8176,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_GO_rooftop_pv,elec_BR_GO,0,100,https://doi.org/10.2172/1236153
VRE,BR_DF_rooftop_pv_mandatoryB,BR_DF,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,2731.0512,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_DF_rooftop_pv,elec_BR_DF,0,100,https://doi.org/10.2172/1236153
VRE,BR_RO_rooftop_pv_mandatoryC,BR_RO,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,1700.328,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RO_rooftop_pv,elec_BR_RO,0,100,https://doi.org/10.2172/1236153
VRE,BR_AC_rooftop_pv_mandatoryC,BR_AC,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,776.874,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AC_rooftop_pv,elec_BR_AC,0,100,https://doi.org/10.2172/1236153
VRE,BR_AM_rooftop_pv_mandatoryC,BR_AM,TRUE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,Electricity,25,0.1075,10,3107.496,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AM_rooftop_pv,elec_BR_AM,0,100,https://doi.org/10.2172/1236153
