Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_CE_Wind_Onshore_Class1,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,206982.964,20699.61,21072.8,19580.03,0,938793.74,957854.41,887965.29,system/availability_wind_onshore_2025.csv,BR_CE_Wind_Onshore_Class1,elec_BR_CE,2682.84,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CE_Wind_Onshore_Class3,BR_CE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,17355,20699.61,21072.8,19580.03,0,1164104.23,1187739.46,1101076.96,system/availability_wind_onshore_2025.csv,BR_CE_Wind_Onshore_Class3,elec_BR_CE,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_ES_Wind_Onshore_Class1,BR_ES,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,7917.887,20699.61,21072.8,19580.03,0,938793.74,957854.41,887965.29,system/availability_wind_onshore_2025.csv,BR_ES_Wind_Onshore_Class1,elec_BR_ES,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Wind_Onshore_Class0,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,126227.189,20699.61,21072.8,19580.03,0,807362.62,823754.79,763650.15,system/availability_wind_onshore_2025.csv,BR_GO_Wind_Onshore_Class0,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Wind_Onshore_Class1,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,370141.812,20699.61,21072.8,19580.03,0,938793.74,957854.41,887965.29,system/availability_wind_onshore_2025.csv,BR_GO_Wind_Onshore_Class1,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Wind_Onshore_Class2,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,26563.485,20699.61,21072.8,19580.03,0,1051448.98,1072796.93,994521.12,system/availability_wind_onshore_2025.csv,BR_GO_Wind_Onshore_Class2,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_GO_Wind_Onshore_Class3,BR_GO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,115886.119,20699.61,21072.8,19580.03,0,1164104.23,1187739.46,1101076.96,system/availability_wind_onshore_2025.csv,BR_GO_Wind_Onshore_Class3,elec_BR_GO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MA_Wind_Onshore_Class0,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,147732.835,20699.61,21072.8,19580.03,0,807362.62,823754.79,763650.15,system/availability_wind_onshore_2025.csv,BR_MA_Wind_Onshore_Class0,elec_BR_MA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MA_Wind_Onshore_Class1,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,112982.831,20699.61,21072.8,19580.03,0,938793.74,957854.41,887965.29,system/availability_wind_onshore_2025.csv,BR_MA_Wind_Onshore_Class1,elec_BR_MA,426,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MA_Wind_Onshore_Class3,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,172707.531,20699.61,21072.8,19580.03,0,1164104.23,1187739.46,1101076.96,system/availability_wind_onshore_2025.csv,BR_MA_Wind_Onshore_Class3,elec_BR_MA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
