Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--max_capacity,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost_25-A,edges--elec_edge--fixed_om_cost_25-B,edges--elec_edge--fixed_om_cost_25-C,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost_25-A,edges--elec_edge--investment_cost_25-B,edges--elec_edge--investment_cost_25-C,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_Nuclear_Modular,BR,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,4700,36,50,0.08,30,215968,136000,118048,0,36,300,0.1,elec_BR_SP,2.8,12680100,9650000,9650000,0.1,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_Nuclear_Large,BR,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,4700,36,50,0.08,30,204000,204000,204000,0,36,1000,0.05,elec_BR_SP,3.4,11836117.7,11836118,11836118,0.05,0.15,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RJ_Nuclear_Existing_Angra1,BR_RJ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,0,36,16,0.08,30,109670,109670,109670,640,36,640,0.05,elec_BR_RJ,3.84,0,0,0,0.05,0.15,1000,uranium_BR,3.076,0,"from 5-zone model, characteristics assumed to be similar to ""large"""
ThermalPower,BR_RJ_Nuclear_Existing_Angra2,BR_RJ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,0,36,19,0.08,30,109670,109670,109670,1350,36,1350,0.05,elec_BR_RJ,3.84,0,0,0,0.05,0.15,1000,uranium_BR,3.076,0,"from 5-zone model, characteristics assumed to be similar to ""large"""
