Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--diesel_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--diesel_edge--commodity,edges--diesel_edge--unidirectional,edges--diesel_edge--has_capacity,edges--diesel_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSDiesel,BR_MT_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_MT,791.73,2403100.797,96124.03188,3129.381096,1870646.4,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MS_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_MS,791.73,2403100.797,96124.03188,3129.381096,445662,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MG_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_MG,791.73,2403100.797,96124.03188,3129.381096,123606,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PA_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_PA,791.73,2403100.797,96124.03188,3129.381096,238140,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PB_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_PB,791.73,2403100.797,96124.03188,3129.381096,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PR_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_PR,791.73,2403100.797,96124.03188,3129.381096,1009940.4,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PE_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_PE,791.73,2403100.797,96124.03188,3129.381096,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PI_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_PI,791.73,2403100.797,96124.03188,3129.381096,56700,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_RJ_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_RJ,791.73,2403100.797,96124.03188,3129.381096,139935.6,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_RN_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_RN,791.73,2403100.797,96124.03188,3129.381096,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_RS_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_RS,791.73,2403100.797,96124.03188,3129.381096,2128064.4,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_RO_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_RO,791.73,2403100.797,96124.03188,3129.381096,156492,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_RR_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_RR,791.73,2403100.797,96124.03188,3129.381096,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_SC_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_SC,791.73,2403100.797,96124.03188,3129.381096,348138,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_SP_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_SP,791.73,2403100.797,96124.03188,3129.381096,297561.6,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_SE_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_SE,791.73,2403100.797,96124.03188,3129.381096,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_TO_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,soybean_harvested_BR_TO,791.73,2403100.797,96124.03188,3129.381096,181440,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
