time_index,BR_CW_Class0,BR_CW_Class1,BR_CW_Class2,BR_CW_Class3,BR_N_Class0,BR_N_Class1,BR_N_Class2,BR_N_Class3,BR_NE_Class0,BR_NE_Class1,BR_NE_Class2,BR_NE_Class3,BR_S_Class0,BR_S_Class1,BR_S_Class3,BR_SE_Class0,BR_SE_Class1,BR_SE_Class3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006508956394564768,0.04279696995215195,0.0,0.010321911371661942,0.0,0.0,0.0,0.0,0.0060186518468226535,0.0003361311595825518
7,0.2806653123203454,0.19213340065314863,0.2803575143894406,0.02630745872855929,0.4050412260793816,0.3408124798562957,0.24638032920261407,0.07012020397601434,0.47522910383738226,0.30051717512876613,0.27922,0.30125503834461126,0.131693333,0.06812187423202005,0.03390014401509563,0.5013841724417563,0.47423846054337476,0.36837648530625927
8,0.5055446159883642,0.4053634154656177,0.501250439848747,0.19159712622041142,0.5655791996484012,0.5293294884866522,0.46175001127272464,0.18544353893360668,0.6637497940485727,0.47218981669897525,0.56558,0.44072855815319684,0.069243333,0.15558339815696146,0.08585188462350828,0.6939648265590329,0.6857243076000278,0.5876956886054473
9,0.6381235283282313,0.531098866828119,0.6341989956051557,0.298131019720415,0.6755447922043434,0.6044900895514663,0.5767168251178996,0.29702898784355747,0.7481888238892179,0.5665606687388679,0.56634,0.5052410535755693,0.26468,0.30493997781580584,0.19230388283436395,0.7973340968037521,0.7991984851162094,0.6441449707512227
10,0.6879856242777643,0.5985420395844364,0.6739637824125765,0.39372397780885976,0.8046964791317096,0.6613313325845536,0.6643160585817587,0.383115038031387,0.7867447439931713,0.6288145433247745,0.58532,0.5804665842683842,0.37768,0.374477610372867,0.2860885840128443,0.8348523026589538,0.8429420590994015,0.6759850488544716
